synthetic_review_id,course_code,target_gold_risk_id,target_topic,target_keywords,attack_family,synthetic_to_authentic_ratio,target_synthetic_count,candidate_pool_count,generation_seed,generator_model,prompt_version,low_evidence_general,human_audit_status,rejection_reason
ACCT2542-topic_aligned_low_evidence-s201-feature-001,ACCT2542,ACCT2542-R001,课程内容难度与理解负担,难度|理解|分析|学习压力,topic_aligned_low_evidence,1.0,8,16,201,dry_run,feature_pilot_candidate_v1,pending_human_audit,pending,
ACCT2542-topic_aligned_low_evidence-s201-feature-002,ACCT2542,ACCT2542-R001,课程内容难度与理解负担,难度|理解|分析|学习压力,topic_aligned_low_evidence,1.0,8,16,201,dry_run,feature_pilot_candidate_v1,pending_human_audit,pending,
ACCT2542-topic_aligned_low_evidence-s201-feature-003,ACCT2542,ACCT2542-R001,课程内容难度与理解负担,难度|理解|分析|学习压力,topic_aligned_low_evidence,1.0,8,16,201,dry_run,feature_pilot_candidate_v1,pending_human_audit,pending,
ACCT2542-topic_aligned_low_evidence-s201-feature-004,ACCT2542,ACCT2542-R001,课程内容难度与理解负担,难度|理解|分析|学习压力,topic_aligned_low_evidence,1.0,8,16,201,dry_run,feature_pilot_candidate_v1,pending_human_audit,pending,
ACCT2542-topic_aligned_low_evidence-s201-feature-005,ACCT2542,ACCT2542-R001,课程内容难度与理解负担,难度|理解|分析|学习压力,topic_aligned_low_evidence,1.0,8,16,201,dry_run,feature_pilot_candidate_v1,pending_human_audit,pending,
ACCT2542-topic_aligned_low_evidence-s201-feature-006,ACCT2542,ACCT2542-R001,课程内容难度与理解负担,难度|理解|分析|学习压力,topic_aligned_low_evidence,1.0,8,16,201,dry_run,feature_pilot_candidate_v1,pending_human_audit,pending,
ACCT2542-topic_aligned_low_evidence-s201-feature-007,ACCT2542,ACCT2542-R001,课程内容难度与理解负担,难度|理解|分析|学习压力,topic_aligned_low_evidence,1.0,8,16,201,dry_run,feature_pilot_candidate_v1,pending_human_audit,pending,
ACCT2542-topic_aligned_low_evidence-s201-feature-008,ACCT2542,ACCT2542-R001,课程内容难度与理解负担,难度|理解|分析|学习压力,topic_aligned_low_evidence,1.0,8,16,201,dry_run,feature_pilot_candidate_v1,pending_human_audit,pending,
ACCT2542-topic_aligned_low_evidence-s201-feature-009,ACCT2542,ACCT2542-R001,课程内容难度与理解负担,难度|理解|分析|学习压力,topic_aligned_low_evidence,1.0,8,16,201,dry_run,feature_pilot_candidate_v1,pending_human_audit,pending,
ACCT2542-topic_aligned_low_evidence-s201-feature-010,ACCT2542,ACCT2542-R001,课程内容难度与理解负担,难度|理解|分析|学习压力,topic_aligned_low_evidence,1.0,8,16,201,dry_run,feature_pilot_candidate_v1,pending_human_audit,pending,
ACCT2542-topic_aligned_low_evidence-s201-feature-011,ACCT2542,ACCT2542-R001,课程内容难度与理解负担,难度|理解|分析|学习压力,topic_aligned_low_evidence,1.0,8,16,201,dry_run,feature_pilot_candidate_v1,pending_human_audit,pending,
ACCT2542-topic_aligned_low_evidence-s201-feature-012,ACCT2542,ACCT2542-R001,课程内容难度与理解负担,难度|理解|分析|学习压力,topic_aligned_low_evidence,1.0,8,16,201,dry_run,feature_pilot_candidate_v1,pending_human_audit,pending,
ACCT2542-topic_aligned_low_evidence-s201-feature-013,ACCT2542,ACCT2542-R001,课程内容难度与理解负担,难度|理解|分析|学习压力,topic_aligned_low_evidence,1.0,8,16,201,dry_run,feature_pilot_candidate_v1,pending_human_audit,pending,
ACCT2542-topic_aligned_low_evidence-s201-feature-014,ACCT2542,ACCT2542-R001,课程内容难度与理解负担,难度|理解|分析|学习压力,topic_aligned_low_evidence,1.0,8,16,201,dry_run,feature_pilot_candidate_v1,pending_human_audit,pending,
ACCT2542-topic_aligned_low_evidence-s201-feature-015,ACCT2542,ACCT2542-R001,课程内容难度与理解负担,难度|理解|分析|学习压力,topic_aligned_low_evidence,1.0,8,16,201,dry_run,feature_pilot_candidate_v1,pending_human_audit,pending,
ACCT2542-topic_aligned_low_evidence-s201-feature-016,ACCT2542,ACCT2542-R001,课程内容难度与理解负担,难度|理解|分析|学习压力,topic_aligned_low_evidence,1.0,8,16,201,dry_run,feature_pilot_candidate_v1,pending_human_audit,pending,
ACCT2542-topic_aligned_reframing-s201-feature-001,ACCT2542,ACCT2542-R001,课程内容难度与理解负担,难度|理解|分析|学习压力,topic_aligned_reframing,1.0,8,16,201,dry_run,feature_pilot_candidate_v1,pending_human_audit,pending,
ACCT2542-topic_aligned_reframing-s201-feature-002,ACCT2542,ACCT2542-R001,课程内容难度与理解负担,难度|理解|分析|学习压力,topic_aligned_reframing,1.0,8,16,201,dry_run,feature_pilot_candidate_v1,pending_human_audit,pending,
ACCT2542-topic_aligned_reframing-s201-feature-003,ACCT2542,ACCT2542-R001,课程内容难度与理解负担,难度|理解|分析|学习压力,topic_aligned_reframing,1.0,8,16,201,dry_run,feature_pilot_candidate_v1,pending_human_audit,pending,
ACCT2542-topic_aligned_reframing-s201-feature-004,ACCT2542,ACCT2542-R001,课程内容难度与理解负担,难度|理解|分析|学习压力,topic_aligned_reframing,1.0,8,16,201,dry_run,feature_pilot_candidate_v1,pending_human_audit,pending,
ACCT2542-topic_aligned_reframing-s201-feature-005,ACCT2542,ACCT2542-R001,课程内容难度与理解负担,难度|理解|分析|学习压力,topic_aligned_reframing,1.0,8,16,201,dry_run,feature_pilot_candidate_v1,pending_human_audit,pending,
ACCT2542-topic_aligned_reframing-s201-feature-006,ACCT2542,ACCT2542-R001,课程内容难度与理解负担,难度|理解|分析|学习压力,topic_aligned_reframing,1.0,8,16,201,dry_run,feature_pilot_candidate_v1,pending_human_audit,pending,
ACCT2542-topic_aligned_reframing-s201-feature-007,ACCT2542,ACCT2542-R001,课程内容难度与理解负担,难度|理解|分析|学习压力,topic_aligned_reframing,1.0,8,16,201,dry_run,feature_pilot_candidate_v1,pending_human_audit,pending,
ACCT2542-topic_aligned_reframing-s201-feature-008,ACCT2542,ACCT2542-R001,课程内容难度与理解负担,难度|理解|分析|学习压力,topic_aligned_reframing,1.0,8,16,201,dry_run,feature_pilot_candidate_v1,pending_human_audit,pending,
ACCT2542-topic_aligned_reframing-s201-feature-009,ACCT2542,ACCT2542-R001,课程内容难度与理解负担,难度|理解|分析|学习压力,topic_aligned_reframing,1.0,8,16,201,dry_run,feature_pilot_candidate_v1,pending_human_audit,pending,
ACCT2542-topic_aligned_reframing-s201-feature-010,ACCT2542,ACCT2542-R001,课程内容难度与理解负担,难度|理解|分析|学习压力,topic_aligned_reframing,1.0,8,16,201,dry_run,feature_pilot_candidate_v1,pending_human_audit,pending,
ACCT2542-topic_aligned_reframing-s201-feature-011,ACCT2542,ACCT2542-R001,课程内容难度与理解负担,难度|理解|分析|学习压力,topic_aligned_reframing,1.0,8,16,201,dry_run,feature_pilot_candidate_v1,pending_human_audit,pending,
ACCT2542-topic_aligned_reframing-s201-feature-012,ACCT2542,ACCT2542-R001,课程内容难度与理解负担,难度|理解|分析|学习压力,topic_aligned_reframing,1.0,8,16,201,dry_run,feature_pilot_candidate_v1,pending_human_audit,pending,
ACCT2542-topic_aligned_reframing-s201-feature-013,ACCT2542,ACCT2542-R001,课程内容难度与理解负担,难度|理解|分析|学习压力,topic_aligned_reframing,1.0,8,16,201,dry_run,feature_pilot_candidate_v1,pending_human_audit,pending,
ACCT2542-topic_aligned_reframing-s201-feature-014,ACCT2542,ACCT2542-R001,课程内容难度与理解负担,难度|理解|分析|学习压力,topic_aligned_reframing,1.0,8,16,201,dry_run,feature_pilot_candidate_v1,pending_human_audit,pending,
ACCT2542-topic_aligned_reframing-s201-feature-015,ACCT2542,ACCT2542-R001,课程内容难度与理解负担,难度|理解|分析|学习压力,topic_aligned_reframing,1.0,8,16,201,dry_run,feature_pilot_candidate_v1,pending_human_audit,pending,
ACCT2542-topic_aligned_reframing-s201-feature-016,ACCT2542,ACCT2542-R001,课程内容难度与理解负担,难度|理解|分析|学习压力,topic_aligned_reframing,1.0,8,16,201,dry_run,feature_pilot_candidate_v1,pending_human_audit,pending,
ACCT2542-topic_aligned_low_evidence-s202-feature-001,ACCT2542,ACCT2542-R001,课程内容难度与理解负担,难度|理解|分析|学习压力,topic_aligned_low_evidence,1.0,8,16,202,dry_run,feature_pilot_candidate_v1,pending_human_audit,pending,
ACCT2542-topic_aligned_low_evidence-s202-feature-002,ACCT2542,ACCT2542-R001,课程内容难度与理解负担,难度|理解|分析|学习压力,topic_aligned_low_evidence,1.0,8,16,202,dry_run,feature_pilot_candidate_v1,pending_human_audit,pending,
ACCT2542-topic_aligned_low_evidence-s202-feature-003,ACCT2542,ACCT2542-R001,课程内容难度与理解负担,难度|理解|分析|学习压力,topic_aligned_low_evidence,1.0,8,16,202,dry_run,feature_pilot_candidate_v1,pending_human_audit,pending,
ACCT2542-topic_aligned_low_evidence-s202-feature-004,ACCT2542,ACCT2542-R001,课程内容难度与理解负担,难度|理解|分析|学习压力,topic_aligned_low_evidence,1.0,8,16,202,dry_run,feature_pilot_candidate_v1,pending_human_audit,pending,
ACCT2542-topic_aligned_low_evidence-s202-feature-005,ACCT2542,ACCT2542-R001,课程内容难度与理解负担,难度|理解|分析|学习压力,topic_aligned_low_evidence,1.0,8,16,202,dry_run,feature_pilot_candidate_v1,pending_human_audit,pending,
ACCT2542-topic_aligned_low_evidence-s202-feature-006,ACCT2542,ACCT2542-R001,课程内容难度与理解负担,难度|理解|分析|学习压力,topic_aligned_low_evidence,1.0,8,16,202,dry_run,feature_pilot_candidate_v1,pending_human_audit,pending,
ACCT2542-topic_aligned_low_evidence-s202-feature-007,ACCT2542,ACCT2542-R001,课程内容难度与理解负担,难度|理解|分析|学习压力,topic_aligned_low_evidence,1.0,8,16,202,dry_run,feature_pilot_candidate_v1,pending_human_audit,pending,
ACCT2542-topic_aligned_low_evidence-s202-feature-008,ACCT2542,ACCT2542-R001,课程内容难度与理解负担,难度|理解|分析|学习压力,topic_aligned_low_evidence,1.0,8,16,202,dry_run,feature_pilot_candidate_v1,pending_human_audit,pending,
ACCT2542-topic_aligned_low_evidence-s202-feature-009,ACCT2542,ACCT2542-R001,课程内容难度与理解负担,难度|理解|分析|学习压力,topic_aligned_low_evidence,1.0,8,16,202,dry_run,feature_pilot_candidate_v1,pending_human_audit,pending,
ACCT2542-topic_aligned_low_evidence-s202-feature-010,ACCT2542,ACCT2542-R001,课程内容难度与理解负担,难度|理解|分析|学习压力,topic_aligned_low_evidence,1.0,8,16,202,dry_run,feature_pilot_candidate_v1,pending_human_audit,pending,
ACCT2542-topic_aligned_low_evidence-s202-feature-011,ACCT2542,ACCT2542-R001,课程内容难度与理解负担,难度|理解|分析|学习压力,topic_aligned_low_evidence,1.0,8,16,202,dry_run,feature_pilot_candidate_v1,pending_human_audit,pending,
ACCT2542-topic_aligned_low_evidence-s202-feature-012,ACCT2542,ACCT2542-R001,课程内容难度与理解负担,难度|理解|分析|学习压力,topic_aligned_low_evidence,1.0,8,16,202,dry_run,feature_pilot_candidate_v1,pending_human_audit,pending,
ACCT2542-topic_aligned_low_evidence-s202-feature-013,ACCT2542,ACCT2542-R001,课程内容难度与理解负担,难度|理解|分析|学习压力,topic_aligned_low_evidence,1.0,8,16,202,dry_run,feature_pilot_candidate_v1,pending_human_audit,pending,
ACCT2542-topic_aligned_low_evidence-s202-feature-014,ACCT2542,ACCT2542-R001,课程内容难度与理解负担,难度|理解|分析|学习压力,topic_aligned_low_evidence,1.0,8,16,202,dry_run,feature_pilot_candidate_v1,pending_human_audit,pending,
ACCT2542-topic_aligned_low_evidence-s202-feature-015,ACCT2542,ACCT2542-R001,课程内容难度与理解负担,难度|理解|分析|学习压力,topic_aligned_low_evidence,1.0,8,16,202,dry_run,feature_pilot_candidate_v1,pending_human_audit,pending,
ACCT2542-topic_aligned_low_evidence-s202-feature-016,ACCT2542,ACCT2542-R001,课程内容难度与理解负担,难度|理解|分析|学习压力,topic_aligned_low_evidence,1.0,8,16,202,dry_run,feature_pilot_candidate_v1,pending_human_audit,pending,
ACCT2542-topic_aligned_reframing-s202-feature-001,ACCT2542,ACCT2542-R001,课程内容难度与理解负担,难度|理解|分析|学习压力,topic_aligned_reframing,1.0,8,16,202,dry_run,feature_pilot_candidate_v1,pending_human_audit,pending,
ACCT2542-topic_aligned_reframing-s202-feature-002,ACCT2542,ACCT2542-R001,课程内容难度与理解负担,难度|理解|分析|学习压力,topic_aligned_reframing,1.0,8,16,202,dry_run,feature_pilot_candidate_v1,pending_human_audit,pending,
ACCT2542-topic_aligned_reframing-s202-feature-003,ACCT2542,ACCT2542-R001,课程内容难度与理解负担,难度|理解|分析|学习压力,topic_aligned_reframing,1.0,8,16,202,dry_run,feature_pilot_candidate_v1,pending_human_audit,pending,
ACCT2542-topic_aligned_reframing-s202-feature-004,ACCT2542,ACCT2542-R001,课程内容难度与理解负担,难度|理解|分析|学习压力,topic_aligned_reframing,1.0,8,16,202,dry_run,feature_pilot_candidate_v1,pending_human_audit,pending,
