annotator_id,course_code,course_title_en,comment_id,first_hand_experience,contains_concrete_evidence,specificity_0_3,low_evidence_general,aspect_labels,risk_labels,risk_severity_0_3,sentiment,evidence_span,notes,updated_at
hanyang,COMP2041,Software Construction: Techniques and Tools,1,yes,yes,3,no,assignment;course_organization,high_workload,1,neutral,作业量较多，期末考试的代码题会混合着考两种语言,一手信息，介绍了课程的整体设计包括assessment，和学习感受,2026-07-14T03:09:03.047Z
hanyang,COMP9021,Principles of Programming,28,yes,no,2,yes,assessment;teaching_quality;resource_quality;career_relevance,content_too_hard;positive_evidence,1,positive,它是那种“学的时候痛苦，但学完很有用”的课，不是轻松课，但作为IT基础课，质量是在线的。,一手信息，关于课程的感受,2026-07-14T02:41:29.816Z
hanyang,COMP6080,Web Front-End Programming,33,,,,,,,,,,,2026-07-14T01:43:28.723Z
hanyang,COMP9021,Principles of Programming,42,yes,no,1,yes,exam,考试难度,1,negative,期末真不水,一手信息，final考试可能有一定难度,2026-07-14T02:41:08.941Z
hanyang,COMP9021,Principles of Programming,44,yes,no,1,yes,teaching_quality,positive_evidence;none,1,neutral,none,一手信息，关于课程的感受,2026-07-14T02:41:03.732Z
hanyang,COMP9021,Principles of Programming,46,yes,no,1,yes,teaching_quality;resource_quality;lecturer,positive_evidence,1,positive,9021 这门课老师是加分项,一手信息，这门课老师的授课质量相对较高,2026-07-14T02:40:59.324Z
hanyang,COMP9021,Principles of Programming,48,yes,no,2,yes,exam;assignment,exam_sample_mismatch;content_too_hard,2,negative,"考试部分和作业风格体验差,但期末考试部分不太考那些",一手信息，考试内容和联系可能不匹配，作业难度较高,2026-07-14T02:40:52.764Z
hanyang,COMP9021,Principles of Programming,50,yes,yes,2,no,assessment;exam;assignment;lecture;teaching_quality;resource_quality,考试难度,2,mixed,老师讲得很细，内容也能延伸得很深。还有人说到 notes 资料写得很详细，每个算法问题拆得都比较清楚，后面作业和考试压力一来，还是很容易心态爆炸。,一手信息，教学质量和课程资料完备，但是assignment和final有一定难度,2026-07-14T02:40:51.389Z
hanyang,COMP9021,Principles of Programming,52,yes,no,1,yes,lecturer,none,0,neutral,none,一手信息，描述授课老师和课程方向,2026-07-14T02:40:43.086Z
hanyang,COMP9311,Database Systems,58,no,no,0,yes,assessment,,0,neutral,none,没有具体信息,2026-07-09T03:31:44.049Z
hanyang,COMP9311,Database Systems,61,yes,no,0,yes,assessment,,0,neutral,none,没有具体信息,2026-07-08T09:25:31.225Z
hanyang,COMP9311,Database Systems,63,yes,yes,2,no,assessment;exam,考试难度,1,neutral,final 就开始拐弯,一手信息，平时内容不算难，考试比较难,2026-07-08T09:25:27.810Z
hanyang,GSOE9011,Engineering Postgraduate Coursework Research Skills,66,yes,yes,3,no,assessment;project;feedback;group_work,high_workload,1,mixed,老师给feedback是挺多，组队的话还要协调进度,一手信息，总体描述了课程assessment的情况和感受,2026-07-09T06:41:24.422Z
hanyang,GSOE9011,Engineering Postgraduate Coursework Research Skills,77,yes,no,1,yes,workload,content_too_hard,2,negative,是那种写着写着会崩溃的,一手信息，描述了学习过程中的感受,2026-07-09T06:40:48.635Z
hanyang,GSOE9011,Engineering Postgraduate Coursework Research Skills,79,yes,yes,3,no,assessment;assignment;marking;workload;lecturer,high_workload,2,neutral,从proposal到final report再到presentation，一路没停过。老师改得很细,一手信息，描述了assessment设置，老师给分情况,2026-07-09T06:40:44.078Z
hanyang,MATH5836,Data and Machine Learning,116,yes,no,2,yes,exam,double_pass_or_hurdle,2,negative,double pass真的烦,一手信息，有double pass,2026-07-09T06:17:14.109Z
hanyang,MATH5836,Data and Machine Learning,118,yes,no,1,yes,prerequisite;lecturer,positive_evidence,1,positive,老师讲课还可以,一手信息，老师可以但是前置基础要牢,2026-07-09T06:17:32.099Z
hanyang,MATH5836,Data and Machine Learning,120,yes,no,2,yes,assessment;prerequisite,Prerequisite Knowledge,1,neutral,这门课不算特别难，基础一般的话，会感觉有点吃力,一手信息，关于课程的整体感受,2026-07-09T06:17:32.375Z
hanyang,COMP2041,Software Construction: Techniques and Tools,146,yes,no,1,yes,exam;assignment,none;考试难度,1,neutral,作业量不多，final 要好好准备,一手信息，考试有一定难度,2026-07-14T03:09:05.971Z
hanyang,COMP2041,Software Construction: Techniques and Tools,148,yes,no,1,yes,exam,none,1,positive,期末好好刷题，我这次做到原题了,一手信息，final需要复习给的题目,2026-07-14T03:09:09.622Z
hanyang,COMP9727,Recommender Systems,209,yes,yes,2,no,project,high_workload,2,negative,project,涉及project,2026-07-09T03:31:46.795Z
hanyang,COMP9727,Recommender Systems,211,yes,yes,3,no,project,high_workload,2,neutral,project占比很高，每一部分都要自己设计和实现，不是那种给你现成框架填空的。debug能搞很久,一手信息涉及project的具体经历体验,2026-07-08T07:25:09.307Z
hanyang,COMP9727,Recommender Systems,213,yes,no,1,yes,,,1,positive,难虽然难，但有意义,一手信息但是泛泛而谈,2026-07-08T07:25:09.443Z
hanyang,COMP9511,Human Computer Interaction,215,yes,no,1,yes,assignment;workload,high_workload,1,negative,每周都有东西要交,一手信息但是太泛了,2026-07-14T01:43:29.645Z
hanyang,COMP9511,Human Computer Interaction,217,yes,yes,2,no,assignment;workload,high_workload,2,negative,"assignment很多而且很碎,每周都有小作业",一手信息，作业多,2026-07-08T08:14:09.956Z
hanyang,COMP9511,Human Computer Interaction,219,yes,yes,2,no,assignment;workload,high_workload,1,negative,作业是真的多，一周一个小任务,一手信息，high work load,2026-07-08T08:14:10.079Z
hanyang,COMP2041,Software Construction: Techniques and Tools,230,yes,yes,2,no,assignment;course_organization;tutor,high_workload;content_too_hard,2,mixed,作业量很大，作业难度也很大，真正学东西还要看Tutorial,一手信息，作业量大且难度高，重点是tutorial,2026-07-14T03:09:14.231Z
hanyang,COMP2041,Software Construction: Techniques and Tools,270,yes,no,1,yes,assignment;career_relevance;lecturer,positive_evidence,1,positive,none,一手信息，没有具体课程安排，但是有课程感受,2026-07-14T03:09:20.116Z
hanyang,COMP9311,Database Systems,272,yes,yes,3,no,assessment;exam;assignment;project,,0,positive,平时认真做还是比较好拿分，final题型很固定,一手信息，平时分数比较好拿，考试好好复习可以那高分,2026-07-08T09:25:20.745Z
hanyang,COMP9511,Human Computer Interaction,273,yes,yes,3,no,assessment;exam;assignment;project;marking;workload;group_work,positive_evidence,1,positive,每周都有小作业，ass2团队合作用figma做东西，期末:一定要刷一下往年真题,一手信息，描述了整个课程的分数结构和可能的难点,2026-07-08T08:14:10.212Z
hanyang,COMP9321,Data Services Engineering,277,yes,yes,3,no,assessment;exam;assignment,content_too_shallow;positive_evidence,1,neutral,三个ass都是一晚弄完，期末复习了一下套路题勉强卡个DN,一手信息，课程有final和3个ass内容相对简单,2026-07-14T02:08:13.329Z
hanyang,COMP9021,Principles of Programming,285,yes,yes,3,no,assessment;exam;assignment;quiz;teaching_quality;resource_quality;lecturer,positive_evidence,1,positive,平时的quzi难度不大，assignment则需要花上一两天,一手信息，包含课程assessment，教学质量高，作业难度适中,2026-07-14T02:40:40.969Z
