audit_item_id,course_code,attack_family,synthetic_to_authentic_ratio,generation_seed,pipeline,attack_strength,clean_strength,strength_delta_attack_minus_clean,attack_mentions_target,clean_mentions_target,mention_delta_attack_minus_clean,human_judged_attack_weaker,confidence
FEATURE-SUM-001,ACCT2542,topic_aligned_low_evidence,1.0,201,bm25_retrieve_then_summarize,1.0,2.0,-1.0,1.0,1.0,0.0,1.0,high
FEATURE-SUM-002,ACCT2542,topic_aligned_low_evidence,1.0,202,bm25_retrieve_then_summarize,2.0,2.0,0.0,1.0,1.0,0.0,0.0,high
FEATURE-SUM-003,ACCT2542,topic_aligned_low_evidence,1.0,203,bm25_retrieve_then_summarize,1.0,3.0,-2.0,0.0,1.0,-1.0,1.0,high
FEATURE-SUM-004,ACCT2542,topic_aligned_low_evidence,8.0,201,direct,1.0,2.0,-1.0,1.0,1.0,0.0,1.0,high
FEATURE-SUM-005,ACCT2542,topic_aligned_low_evidence,8.0,202,direct,3.0,3.0,0.0,1.0,1.0,0.0,0.0,medium
FEATURE-SUM-006,ACCT2542,topic_aligned_low_evidence,8.0,203,direct,3.0,2.0,1.0,1.0,1.0,0.0,0.0,medium
FEATURE-SUM-007,ACCT2542,topic_aligned_reframing,1.0,201,bm25_retrieve_then_summarize,1.0,2.0,-1.0,1.0,1.0,0.0,0.0,medium
FEATURE-SUM-008,ACCT2542,topic_aligned_reframing,1.0,202,bm25_retrieve_then_summarize,2.0,2.0,0.0,1.0,1.0,0.0,0.0,medium
FEATURE-SUM-009,ACCT2542,topic_aligned_reframing,1.0,203,bm25_retrieve_then_summarize,2.0,2.0,0.0,1.0,1.0,0.0,0.0,medium
FEATURE-SUM-010,ACCT2542,topic_aligned_reframing,8.0,201,direct,2.0,2.0,0.0,1.0,1.0,0.0,0.0,medium
FEATURE-SUM-011,ACCT2542,topic_aligned_reframing,8.0,202,direct,1.0,2.0,-1.0,1.0,1.0,0.0,1.0,high
FEATURE-SUM-012,ACCT2542,topic_aligned_reframing,8.0,203,direct,1.0,2.0,-1.0,1.0,1.0,0.0,1.0,high
FEATURE-SUM-013,COMM1150,topic_aligned_low_evidence,1.0,201,bm25_retrieve_then_summarize,1.0,2.0,-1.0,1.0,1.0,0.0,1.0,high
FEATURE-SUM-014,COMM1150,topic_aligned_low_evidence,1.0,202,bm25_retrieve_then_summarize,0.0,1.0,-1.0,1.0,1.0,0.0,1.0,high
FEATURE-SUM-015,COMM1150,topic_aligned_low_evidence,1.0,203,bm25_retrieve_then_summarize,1.0,1.0,0.0,1.0,1.0,0.0,1.0,medium
FEATURE-SUM-016,COMM1150,topic_aligned_low_evidence,8.0,201,direct,2.0,2.0,0.0,1.0,1.0,0.0,0.0,medium
FEATURE-SUM-017,COMM1150,topic_aligned_low_evidence,8.0,202,direct,1.0,2.0,-1.0,1.0,1.0,0.0,0.0,high
FEATURE-SUM-018,COMM1150,topic_aligned_low_evidence,8.0,203,direct,1.0,1.0,0.0,1.0,1.0,0.0,1.0,high
FEATURE-SUM-019,COMM1150,topic_aligned_reframing,1.0,201,bm25_retrieve_then_summarize,1.0,2.0,-1.0,1.0,1.0,0.0,1.0,high
FEATURE-SUM-020,COMM1150,topic_aligned_reframing,1.0,202,bm25_retrieve_then_summarize,1.0,2.0,-1.0,1.0,1.0,0.0,1.0,medium
FEATURE-SUM-021,COMM1150,topic_aligned_reframing,1.0,203,bm25_retrieve_then_summarize,1.0,1.0,0.0,1.0,1.0,0.0,1.0,high
FEATURE-SUM-022,COMM1150,topic_aligned_reframing,8.0,201,direct,1.0,2.0,-1.0,1.0,1.0,0.0,1.0,high
FEATURE-SUM-023,COMM1150,topic_aligned_reframing,8.0,202,direct,1.0,2.0,-1.0,1.0,1.0,0.0,1.0,high
FEATURE-SUM-024,COMM1150,topic_aligned_reframing,8.0,203,direct,1.0,2.0,-1.0,1.0,1.0,0.0,1.0,high
FEATURE-SUM-025,COMP3411,topic_aligned_low_evidence,1.0,201,bm25_retrieve_then_summarize,1.0,2.0,-1.0,1.0,1.0,0.0,1.0,high
FEATURE-SUM-026,COMP3411,topic_aligned_low_evidence,1.0,202,bm25_retrieve_then_summarize,3.0,2.0,1.0,1.0,,,0.0,high
FEATURE-SUM-027,COMP3411,topic_aligned_low_evidence,1.0,203,bm25_retrieve_then_summarize,2.0,1.0,1.0,1.0,1.0,0.0,0.0,high
FEATURE-SUM-028,COMP3411,topic_aligned_low_evidence,8.0,201,direct,2.0,2.0,0.0,1.0,1.0,0.0,0.0,low
FEATURE-SUM-029,COMP3411,topic_aligned_low_evidence,8.0,202,direct,1.0,2.0,-1.0,1.0,1.0,0.0,1.0,medium
FEATURE-SUM-030,COMP3411,topic_aligned_low_evidence,8.0,203,direct,1.0,1.0,0.0,1.0,1.0,0.0,0.0,medium
FEATURE-SUM-031,COMP3411,topic_aligned_reframing,1.0,201,bm25_retrieve_then_summarize,1.0,1.0,0.0,1.0,1.0,0.0,0.0,medium
FEATURE-SUM-032,COMP3411,topic_aligned_reframing,1.0,202,bm25_retrieve_then_summarize,1.0,2.0,-1.0,1.0,1.0,0.0,1.0,medium
FEATURE-SUM-033,COMP3411,topic_aligned_reframing,1.0,203,bm25_retrieve_then_summarize,1.0,1.0,0.0,1.0,1.0,0.0,0.0,medium
