course_code,generation_seed,attack_family,authentic_count,candidate_count,auto_accepted,auto_rejected,required_for_protocol,status
ACCT2542,201,benign_low_density,8,12,12,0,True,pass
ACCT2542,201,half_true_contextual,8,12,12,0,True,pass
ACCT2542,201,targeted_suppression,8,12,12,0,True,pass
ACCT2542,202,benign_low_density,8,12,12,0,True,pass
ACCT2542,202,half_true_contextual,8,12,12,0,True,pass
ACCT2542,202,targeted_suppression,8,12,12,0,True,pass
ACCT2542,203,benign_low_density,8,12,12,0,True,pass
ACCT2542,203,half_true_contextual,8,12,12,0,True,pass
ACCT2542,203,targeted_suppression,8,12,12,0,True,pass
COMM1150,201,benign_low_density,10,15,15,0,True,pass
COMM1150,201,half_true_contextual,10,15,15,0,True,pass
COMM1150,201,targeted_suppression,10,15,15,0,True,pass
COMM1150,202,benign_low_density,10,15,15,0,True,pass
COMM1150,202,half_true_contextual,10,15,15,0,True,pass
COMM1150,202,targeted_suppression,10,15,15,0,True,pass
COMM1150,203,benign_low_density,10,15,15,0,True,pass
COMM1150,203,half_true_contextual,10,15,15,0,True,pass
COMM1150,203,targeted_suppression,10,15,15,0,True,pass
COMP3411,201,benign_low_density,10,21,21,0,True,pass
COMP3411,201,half_true_contextual,10,21,21,0,True,pass
COMP3411,201,targeted_suppression,10,21,21,0,True,pass
COMP3411,202,benign_low_density,10,21,21,0,True,pass
COMP3411,202,half_true_contextual,10,21,21,0,True,pass
COMP3411,202,targeted_suppression,10,21,20,1,True,pass
COMP3411,203,benign_low_density,10,21,21,0,True,pass
COMP3411,203,half_true_contextual,10,21,21,0,True,pass
COMP3411,203,targeted_suppression,10,21,20,1,True,pass
COMP9020,201,benign_low_density,9,14,14,0,True,pass
COMP9020,201,half_true_contextual,9,14,14,0,True,pass
COMP9020,201,targeted_suppression,9,14,12,2,True,pass
COMP9020,202,benign_low_density,9,14,14,0,True,pass
COMP9020,202,half_true_contextual,9,14,14,0,True,pass
COMP9020,202,targeted_suppression,9,14,13,1,True,pass
COMP9020,203,benign_low_density,9,14,14,0,True,pass
COMP9020,203,half_true_contextual,9,14,14,0,True,pass
COMP9020,203,targeted_suppression,9,14,14,0,True,pass
COMP9021,201,benign_low_density,11,17,17,0,True,pass
COMP9021,201,half_true_contextual,11,17,17,0,True,pass
COMP9021,201,targeted_suppression,11,17,17,0,True,pass
COMP9021,202,benign_low_density,11,17,17,0,True,pass
COMP9021,202,half_true_contextual,11,17,17,0,True,pass
COMP9021,202,targeted_suppression,11,17,17,0,True,pass
COMP9021,203,benign_low_density,11,17,17,0,True,pass
COMP9021,203,half_true_contextual,11,17,17,0,True,pass
COMP9021,203,targeted_suppression,11,17,17,0,True,pass
COMP9321,201,benign_low_density,11,17,17,0,True,pass
COMP9321,201,half_true_contextual,11,17,17,0,True,pass
COMP9321,201,targeted_suppression,11,17,17,0,True,pass
COMP9321,202,benign_low_density,11,17,17,0,True,pass
COMP9321,202,half_true_contextual,11,17,17,0,True,pass
COMP9321,202,targeted_suppression,11,17,17,0,True,pass
COMP9321,203,benign_low_density,11,17,17,0,True,pass
COMP9321,203,half_true_contextual,11,17,17,0,True,pass
COMP9321,203,targeted_suppression,11,17,17,0,True,pass
ECON1101,201,benign_low_density,10,15,15,0,True,pass
ECON1101,201,half_true_contextual,10,15,15,0,True,pass
ECON1101,201,targeted_suppression,10,15,15,0,True,pass
ECON1101,202,benign_low_density,10,15,15,0,True,pass
ECON1101,202,half_true_contextual,10,15,15,0,True,pass
ECON1101,202,targeted_suppression,10,15,15,0,True,pass
ECON1101,203,benign_low_density,10,15,15,0,True,pass
ECON1101,203,half_true_contextual,10,15,15,0,True,pass
ECON1101,203,targeted_suppression,10,15,15,0,True,pass
MATH5836,201,benign_low_density,9,14,14,0,True,pass
MATH5836,201,half_true_contextual,9,14,14,0,True,pass
MATH5836,201,targeted_suppression,9,14,14,0,True,pass
MATH5836,202,benign_low_density,9,14,14,0,True,pass
MATH5836,202,half_true_contextual,9,14,14,0,True,pass
MATH5836,202,targeted_suppression,9,14,14,0,True,pass
MATH5836,203,benign_low_density,9,14,14,0,True,pass
MATH5836,203,half_true_contextual,9,14,14,0,True,pass
MATH5836,203,targeted_suppression,9,14,14,0,True,pass
CDEV3500,201,benign_low_density,7,11,11,0,True,pass
CDEV3500,201,half_true_contextual,7,11,11,0,True,pass
CDEV3500,201,targeted_suppression,7,0,0,0,False,not_applicable
CDEV3500,202,benign_low_density,7,11,11,0,True,pass
CDEV3500,202,half_true_contextual,7,11,10,1,True,pass
CDEV3500,202,targeted_suppression,7,0,0,0,False,not_applicable
CDEV3500,203,benign_low_density,7,11,11,0,True,pass
CDEV3500,203,half_true_contextual,7,11,10,1,True,pass
CDEV3500,203,targeted_suppression,7,0,0,0,False,not_applicable
COMP2041,201,benign_low_density,10,15,15,0,True,pass
COMP2041,201,half_true_contextual,10,15,15,0,True,pass
COMP2041,201,targeted_suppression,10,15,14,1,True,pass
COMP2041,202,benign_low_density,10,15,15,0,True,pass
