annotator_id,course_code,comment_id,evidence_id,evidence_text,aspect_label,risk_label,risk_severity,is_decision_relevant,_source_file,_source_encoding,_source_row
FY liu,COMP4920,12,COMP4920-E001,COMP4920 是一门偏职业素养与技术伦理的课程，重点不在编程实现，而在于讨论计算机专业中的伦理判断、责任意识以及技术应用带来的社会影响。,career_relevance / 职业相关性,,medium,yes,evidence_units_FY_liu (2)(1).csv,utf-8-sig,2
FY liu,COMP4920,12,COMP4920-E002,这门课的特点是思辨性强、写作和论证要求比较高，比较适合已经学过多门技术课、希望从“如何做系统”进一步思考“为什么这样做、这样做是否负责”的学生。它的价值不在于提升编码能力，而在于帮助学生建立更完整的专业视角。,assessment / 考核整体,,medium,yes,evidence_units_FY_liu (2)(1).csv,utf-8-sig,3
hanyang,COMP9727,209,COMP9727-E001,比想象中折磨,project根本不是“随便做做”那种,,,yes,evidence_units_hanyang(1).csv,utf-8-sig,2
hanyang,COMP9727,211,COMP9727-E002,project占比很高，不是那种给你现成框架填空的。debug能搞很久,project,,medium,no,evidence_units_hanyang(1).csv,utf-8-sig,3
hanyang,COMP9727,213,COMP9727-E003,难虽然难，但有意义,,,medium,,evidence_units_hanyang(1).csv,utf-8-sig,4
hanyang,COMP9727,360,COMP9727-E004,没有期末能选的,没有期末能选的,,low,no,evidence_units_hanyang(1).csv,utf-8-sig,5
hanyang,COMP9727,361,COMP9727-E005,asst 30%，design 20%，project 30%，report 20%,课程的分数架构,,medium,no,evidence_units_hanyang(1).csv,utf-8-sig,6
hanyang,COMP9727,362,COMP9727-E006,搜广推项目，值得做的，大厂的很多业务都有搜广推,职业相关性,,low,yes,evidence_units_hanyang(1).csv,utf-8-sig,7
hanyang,COMP9727,981,COMP9727-E007,平时分给得挺高，但是期末比较难,期末比较难,,medium,no,evidence_units_hanyang(1).csv,utf-8-sig,8
hanyang,COMP9727,990,COMP9727-E008,Ass1 30%，4000本书的数据,project,,medium,no,evidence_units_hanyang(1).csv,utf-8-sig,9
hanyang,COMP9511,215,COMP9511-E001,每周都有东西要交,作业量,,low,no,evidence_units_hanyang(1).csv,utf-8-sig,10
hanyang,COMP9511,217,COMP9511-E002,"assignment很多而且很碎,每周都有小作业",作业,,medium,no,evidence_units_hanyang(1).csv,utf-8-sig,11
hanyang,COMP9511,219,COMP9511-E003,作业是真的多，一周一个小任务,high workload,,medium,no,evidence_units_hanyang(1).csv,utf-8-sig,12
hanyang,COMP9511,273,COMP9511-E004,每周都有小作业，ass2团队合作用figma做东西，期末:一定要刷一下往年真题,exam，assignment，group work,,low,no,evidence_units_hanyang(1).csv,utf-8-sig,13
hanyang,COMP9511,363,COMP9511-E005,作业稍微多点，double pass也不用担心，期末肯定稳过,exam， assessment,,low,no,evidence_units_hanyang(1).csv,utf-8-sig,14
hanyang,COMP9511,364,COMP9511-E006,平时分给分挺低的，每周都有小作业，final全是选择题,workload，exam,,low,no,evidence_units_hanyang(1).csv,utf-8-sig,15
hanyang,COMP9511,365,COMP9511-E007,期末改为线下考试，增加dp(final≥50%),exam,,low,no,evidence_units_hanyang(1).csv,utf-8-sig,16
hanyang,COMP9511,366,COMP9511-E008,没有代码，3-4人组队，weeky作业(才占比10%)很多,"group work, weekly work",,low,no,evidence_units_hanyang(1).csv,utf-8-sig,17
