annotator_id,course_code,course_title_en,comment_id,first_hand_experience,contains_concrete_evidence,specificity_0_3,low_evidence_general,aspect_labels,risk_labels,risk_severity_0_3,sentiment,evidence_span,notes,updated_at,_source_file,_source_encoding,_source_row
FY liu,COMP4920,Professional Issues and Ethics in Information Technology,12,yes,yes,3,no,course_organization;teaching_quality,insufficient_support,3,neutral,给分非常抠门和主观，基本就是tutor行基本分数不会太难看，tutor不行基本完蛋。,,2026-07-09T15:31:52.091Z,review_annotations_FY_liu (2)(1).csv,utf-8-sig,2
FY liu,COMP6080,Web Front-End Programming,33,,,,,,,,,,,2026-07-13T05:38:34.342Z,review_annotations_FY_liu (2)(1).csv,utf-8-sig,3
FY liu,COMP4920,Professional Issues and Ethics in Information Technology,122,yes,no,1,yes,,,1,neutral,,,2026-07-09T15:31:52.778Z,review_annotations_FY_liu (2)(1).csv,utf-8-sig,4
FY liu,COMP4920,Professional Issues and Ethics in Information Technology,124,yes,no,1,yes,teaching_quality,,1,neutral,,,2026-07-09T15:31:53.174Z,review_annotations_FY_liu (2)(1).csv,utf-8-sig,5
FY liu,COMP4920,Professional Issues and Ethics in Information Technology,126,yes,no,2,yes,assignment,,1,positive,,,2026-07-09T15:31:53.529Z,review_annotations_FY_liu (2)(1).csv,utf-8-sig,6
FY liu,COMP3411,Artificial Intelligence,128,yes,yes,1,no,teaching_quality,weak_teaching,2,negative,最新的像transformer什么的是一概没有的,,2026-07-07T14:36:10.491Z,review_annotations_FY_liu (2)(1).csv,utf-8-sig,7
FY liu,COMP3411,Artificial Intelligence,130,yes,yes,2,no,exam;marking,harsh_grading,2,mixed,final一炸直接double pass带走,,2026-07-07T14:37:11.660Z,review_annotations_FY_liu (2)(1).csv,utf-8-sig,8
FY liu,COMP3411,Artificial Intelligence,132,yes,yes,2,no,teaching_quality,weak_teaching;double_pass_or_hurdle,1,negative,"基本把AI里常见的东西都扫一遍,没有深入的讲",,2026-07-07T14:39:28.828Z,review_annotations_FY_liu (2)(1).csv,utf-8-sig,9
FY liu,COMP9444,Neural Networks and Deep Learning,135,unclear,no,1,yes,marking,,1,positive,,,2026-07-13T05:39:06.932Z,review_annotations_FY_liu (2)(1).csv,utf-8-sig,10
FY liu,COMP9444,Neural Networks and Deep Learning,137,yes,yes,3,no,exam;project,harsh_grading,2,negative,期末居然还选择答错扣分,,2026-07-13T05:40:01.898Z,review_annotations_FY_liu (2)(1).csv,utf-8-sig,11
