annotator_id,course_code,course_title_en,comment_id,first_hand_experience,contains_concrete_evidence,specificity_0_3,low_evidence_general,aspect_labels,risk_labels,risk_severity_0_3,sentiment,evidence_span,notes,updated_at
kreit,COMP3121,Algorithm Design and Analysis,9,yes,no,1,yes,feedback;tutor,positive_evidence,1,positive,none,主观性过强，对课程评价不多,2026-07-07T12:20:11.061Z
kreit,COMP3311,Database Systems,17,yes,no,2,yes,career_relevance,positive_evidence;none,1,neutral,none,与课程设置本身的关联性不大,2026-07-07T13:19:59.565Z
kreit,COMP6713,Natural Language Processing,32,,,,,,,,,,,2026-07-07T10:06:38.743Z
kreit,COMP6080,Web Front-End Programming,33,,,,,,,,,,,2026-07-07T10:05:00.007Z
kreit,COMP1521,Computer Systems Fundamentals,37,yes,no,2,yes,assessment;career_relevance;degree_of_difficulty,content_too_hard,2,mixed,mips加文件系统，指针链表杂糅。学的跟做梦一样。难度属于薛定谔的猫。,评论同时涉及课业内容、学习难度、未来发展,2026-07-07T12:19:07.725Z
kreit,GSOE9820,Engineering Project Management,60,yes,no,2,yes,project;workload;group_work;course_organization;teaching_quality,poor_organization;weak_teaching;insufficient_support;group_work_risk,2,negative,none,评论同时涉及work load以及个人情绪，但没有具体情况说明,2026-07-07T10:45:57.877Z
kreit,GSOE9820,Engineering Project Management,62,yes,no,2,yes,exam;project;group_work,unclear_marking;group_work_risk,2,neutral,平时作业分占得高,平时作业如何安排，分数占比几何未能指明,2026-07-07T10:45:59.061Z
kreit,GSOE9820,Engineering Project Management,64,yes,no,2,no,exam;project;marking;group_work;course_organization;career_relevance,high_workload;content_too_shallow,3,neutral,它明显更偏协作、流程和交付,没有明确说明具体任务安排,2026-07-07T10:51:09.819Z
kreit,COMP6991,Solving Modern Programming Problems with Rust,123,,,,,,,,,,,2026-07-07T10:05:01.687Z
kreit,COMP6713,Natural Language Processing,169,,,,,,,,,,,2026-07-07T10:05:07.719Z
kreit,GSOE9820,Engineering Project Management,172,yes,no,0,yes,assessment;project;feedback;group_work,unclear_marking,3,negative,none,评论情绪化明显，为吐槽贴,2026-07-07T10:48:22.932Z
kreit,GSOE9820,Engineering Project Management,174,unclear,no,1,yes,assessment;assignment;quiz;workload,none,1,mixed,不写代码的课都简单,仅说明课程中所使用的工具,2026-07-07T10:48:21.797Z
kreit,GSOE9820,Engineering Project Management,176,yes,no,0,yes,exam;project,unclear_marking;group_work_risk,1,mixed,none,,2026-07-07T10:48:20.709Z
kreit,GSOE9820,Engineering Project Management,178,yes,no,0,yes,,,0,positive,水课，必选,一手资料不确定,2026-07-07T10:48:14.236Z
kreit,COMP3121,Algorithm Design and Analysis,216,yes,no,2,yes,assessment;marking,unclear_marking;poor_organization,2,negative,none,主观性过强,2026-07-07T12:20:11.640Z
kreit,COMP3222,Digital Circuits and Systems,226,yes,no,2,yes,exam;feedback,none,2,mixed,none,体验派,2026-07-07T13:04:58.121Z
kreit,COMP3222,Digital Circuits and Systems,228,no,no,0,yes,other,none,1,neutral,none,first_hand不明确,2026-07-07T13:04:07.465Z
kreit,COMP3222,Digital Circuits and Systems,271,yes,no,0,yes,other,none,1,mixed,none,抽象派,2026-07-07T13:04:06.745Z
