annotator_id,course_code,course_title_en,comment_id,first_hand_experience,contains_concrete_evidence,specificity_0_3,low_evidence_general,aspect_labels,risk_labels,risk_severity_0_3,sentiment,evidence_span,notes,updated_at
Yuanhang Yan,COMP1511,Programming Fundamentals,11,yes,yes,3,no,assessment;exam;assignment;project;quiz;feedback;marking;workload;lecture;tutorial;lab;group_work;course_organization;teaching_quality;resource_quality,none,1,positive,对于变成完全没有一点的同学在学期中后期可能会感觉到一定的压力   一旦进入数组、函数、指针、结构体、链表和较复杂的程序设计，很多同学会开始觉得吃力  至少完成考试内容的40%(hurdle…)，最后倒数第一第二题可能涉及到后期其他课程的内容,,2026-07-07T12:24:49.959Z
Yuanhang Yan,COMP4920,Professional Issues and Ethics in Information Technology,12,yes,yes,3,no,assessment;exam;assignment;teaching_quality;resource_quality;Stuff,unclear_marking;weak_teaching;insufficient_support;content_too_hard,3,negative,过程十分痛苦，对于这方面兴趣不强的同学非常折磨    如果tutor是非计算机背景(如哲学方面的)的会更折磨...可能从他们的专业方向和思考方式拷打你的文章   给分非常抠门和主观，基本就是tutor行基本分数不会太难看，tutor不行基本完蛋,,2026-07-08T08:20:24.944Z
Yuanhang Yan,COMP1511,Programming Fundamentals,15,unclear,no,0,yes,,,0,neutral,none,,2026-07-07T12:24:50.822Z
Yuanhang Yan,COMP2521,Data Structures and Algorithms,16,yes,no,0,yes,Nothing,,1,negative,none,,2026-07-07T10:16:13.149Z
Yuanhang Yan,COMP2521,Data Structures and Algorithms,18,unclear,yes,3,no,assessment;exam;assignment;project;quiz;course_organization;resource_quality,,1,neutral,none,,2026-07-07T10:16:13.382Z
Yuanhang Yan,COMP1511,Programming Fundamentals,27,yes,yes,2,no,assessment;exam;assignment;project;teaching_quality,none,1,positive,临时抱佛脚只能完成百分之八十  hd 就需要比较多时间的付出，特别是在 assignments 上面,,2026-07-07T12:24:51.069Z
Yuanhang Yan,COMP6080,Web Front-End Programming,33,,,,,,,,,,,2026-07-08T06:37:01.813Z
Yuanhang Yan,COMP1511,Programming Fundamentals,36,yes,no,2,yes,assessment;exam;project;workload,poor_organization;weak_teaching,1,negative,教学曲线也不平滑，跟过山车似的。1511确实是给初级小白的当头棒喝   1511和1521就是第一道分水岭。从某些角度先砍翻单纯跟随计算机大潮的同学，再砍翻一半信心不坚定的。就是多少折损了6学分的学费,,2026-07-07T12:24:51.287Z
Yuanhang Yan,COMP9020,Foundations of Computer Science,41,yes,no,2,yes,assessment;exam,exam_sample_mismatch;unclear_marking,2,mixed,证明题是真的多   final 形式还会变   选之前最好先看看这学期是谁教,,2026-07-08T09:44:20.278Z
Yuanhang Yan,COMP9020,Foundations of Computer Science,43,yes,yes,3,no,assessment;exam;workload;teaching_quality,high_workload;content_too_hard,3,mixed,"最后考试形式有点离谱，30 道选择，和以前那种大量证明题很不一样""   选错还倒扣",,2026-07-08T09:44:20.543Z
Yuanhang Yan,COMP9020,Foundations of Computer Science,45,yes,no,2,yes,assessment;Stuff,harsh_grading;other,2,mixed,这课老师影响非常大，9020 的作业和考核挺看教授安排，不同老师带法差异会比较明显   如果你本身离散数学底子一般就难过了,,2026-07-08T09:45:30.874Z
Yuanhang Yan,COMP9020,Foundations of Computer Science,47,yes,yes,3,no,assessment;course_organization,high_workload;poor_organization,2,negative,每周六到八道证明题，直接把人写麻了   给人的感觉并不是按正常节奏慢慢铺开，而是后面突然压上来,,2026-07-08T09:45:31.303Z
Yuanhang Yan,COMP9020,Foundations of Computer Science,49,yes,yes,2,no,assessment;exam;assignment;marking;workload;teaching_quality,high_workload;content_too_hard,3,mixed,这课会把你从“我知道概念”拽到“你给我认真写证明   如果老师比较稳、作业安排也正常，那这课其实还能接受；但要是碰到作业量一波一波上来，或者 final 又改形式，那体验会很两极分化。有人会觉得...根本不是在学知识，是在和题量还有考试机制搏斗   不是完全不能上，但一定要先查当学期老师和考核,,2026-07-08T09:46:02.895Z
Yuanhang Yan,COMP9020,Foundations of Computer Science,51,yes,no,1,yes,assessment,prerequisite_gap,0,neutral,none,,2026-07-08T09:45:19.881Z
Yuanhang Yan,COMP4920,Professional Issues and Ethics in Information Technology,122,yes,no,1,yes,assessment,none,0,positive,none,,2026-07-08T08:19:39.071Z
Yuanhang Yan,COMP4920,Professional Issues and Ethics in Information Technology,124,unclear,no,0,yes,assessment,content_too_shallow,0,positive,none,,2026-07-08T08:19:38.927Z
Yuanhang Yan,COMP4920,Professional Issues and Ethics in Information Technology,126,yes,no,1,yes,assessment;assignment,,0,positive,none,,2026-07-08T08:19:38.781Z
Yuanhang Yan,COMP3411,Artificial Intelligence,128,yes,no,1,yes,assessment;lecture;tutorial;teaching_quality;resource_quality,weak_teaching;low_practical_value,1,negative,讲的东西全是20世纪初的东西，最新的像transformer什么的是一概没有的  又难又没用,,2026-07-08T08:04:47.876Z
Yuanhang Yan,COMP3411,Artificial Intelligence,130,unclear,no,2,yes,assessment;exam;marking,harsh_grading;double_pass_or_hurdle;content_too_hard,2,negative,AI课但不轻松   final一炸直接double pass带走,,2026-07-08T08:06:25.388Z
Yuanhang Yan,COMP3411,Artificial Intelligence,132,yes,no,2,yes,assessment;assignment;lecture;tutorial;teaching_quality;resource_quality,content_too_shallow;low_practical_value,1,mixed,AI大杂烩...基本把AI里常见的东西都扫一遍，没有深入的讲,,2026-07-08T08:06:51.639Z
Yuanhang Yan,COMP9517,Computer Vision,134,yes,no,1,yes,assessment;lab;resource_quality,,1,neutral,none,,2026-07-07T12:38:31.426Z
