annotator_id,course_code,course_title_en,comment_id,first_hand_experience,contains_concrete_evidence,specificity_0_3,low_evidence_general,aspect_labels,risk_labels,risk_severity_0_3,sentiment,evidence_span,notes,updated_at
hanyang,COMP6080,Web Front-End Programming,33,,,,,,,,,,,2026-07-09T02:04:49.259Z
hanyang,COMP9311,Database Systems,58,no,no,0,yes,assessment,,0,neutral,none,没有具体信息,2026-07-09T03:31:44.049Z
hanyang,COMP9311,Database Systems,61,yes,no,0,yes,assessment,,0,neutral,none,没有具体信息,2026-07-08T09:25:31.225Z
hanyang,COMP9311,Database Systems,63,yes,yes,2,no,assessment;exam,考试难度,1,neutral,final 就开始拐弯,一手信息，平时内容不算难，考试比较难,2026-07-08T09:25:27.810Z
hanyang,GSOE9011,Engineering Postgraduate Coursework Research Skills,66,yes,yes,3,no,assessment;project;feedback;group_work,high_workload,1,mixed,老师给feedback是挺多，组队的话还要协调进度,一手信息，总体描述了课程assessment的情况和感受,2026-07-09T06:41:20.307Z
hanyang,GSOE9011,Engineering Postgraduate Coursework Research Skills,77,yes,no,1,yes,workload,content_too_hard,2,negative,是那种写着写着会崩溃的,一手信息，描述了学习过程中的感受,2026-07-09T06:40:48.635Z
hanyang,GSOE9011,Engineering Postgraduate Coursework Research Skills,79,yes,yes,3,no,assessment;assignment;marking;workload;lecturer,high_workload,2,neutral,从proposal到final report再到presentation，一路没停过。老师改得很细,一手信息，描述了assessment设置，老师给分情况,2026-07-09T06:40:44.078Z
hanyang,MATH5836,Data and Machine Learning,116,yes,no,2,yes,exam,double_pass_or_hurdle,2,negative,double pass真的烦,一手信息，有double pass,2026-07-09T06:17:14.109Z
hanyang,MATH5836,Data and Machine Learning,118,yes,no,1,yes,prerequisite;lecturer,positive_evidence,1,positive,老师讲课还可以,一手信息，老师可以但是前置基础要牢,2026-07-09T06:17:32.099Z
hanyang,MATH5836,Data and Machine Learning,120,yes,no,2,yes,assessment;prerequisite,Prerequisite Knowledge,1,neutral,这门课不算特别难，基础一般的话，会感觉有点吃力,一手信息，关于课程的整体感受,2026-07-09T06:17:32.375Z
hanyang,COMP9727,Recommender Systems,209,yes,yes,2,no,project,high_workload,2,negative,project,涉及project,2026-07-09T03:31:46.795Z
hanyang,COMP9727,Recommender Systems,211,yes,yes,3,no,project,high_workload,2,neutral,project占比很高，每一部分都要自己设计和实现，不是那种给你现成框架填空的。debug能搞很久,一手信息涉及project的具体经历体验,2026-07-08T07:25:09.307Z
hanyang,COMP9727,Recommender Systems,213,yes,no,1,yes,,,1,positive,难虽然难，但有意义,一手信息但是泛泛而谈,2026-07-08T07:25:09.443Z
hanyang,COMP9511,Human Computer Interaction,215,yes,no,1,yes,assignment;workload,high_workload,1,negative,每周都有东西要交,一手信息但是太泛了,2026-07-09T03:31:44.704Z
hanyang,COMP9511,Human Computer Interaction,217,yes,yes,2,no,assignment;workload,high_workload,2,negative,"assignment很多而且很碎,每周都有小作业",一手信息，作业多,2026-07-08T08:14:09.956Z
hanyang,COMP9511,Human Computer Interaction,219,yes,yes,2,no,assignment;workload,high_workload,1,negative,作业是真的多，一周一个小任务,一手信息，high work load,2026-07-08T08:14:10.079Z
hanyang,COMP9311,Database Systems,272,yes,yes,3,no,assessment;exam;assignment;project,,0,positive,平时认真做还是比较好拿分，final题型很固定,一手信息，平时分数比较好拿，考试好好复习可以那高分,2026-07-08T09:25:20.745Z
hanyang,COMP9511,Human Computer Interaction,273,yes,yes,3,no,assessment;exam;assignment;project;marking;workload;group_work,positive_evidence,1,positive,每周都有小作业，ass2团队合作用figma做东西，期末:一定要刷一下往年真题,一手信息，描述了整个课程的分数结构和可能的难点,2026-07-08T08:14:10.212Z
