audit_item_id,synthetic_review_id,course_code,generation_seed,attack_family,target_gold_risk_id,contains_unsupported_specific_claim,annotator_notes,is_low_evidence_general,is_simplified_chinese,is_topic_aligned,is_duplicate_or_near_duplicate,overall_decision,contains_instruction_or_advertising
FEATURE-SYN-001,ACCT2542-topic_aligned_low_evidence-r8-s201-feature-041,ACCT2542,201,topic_aligned_low_evidence,ACCT2542-R001,unsure,,yes,yes,yes,yes,accept,no
FEATURE-SYN-002,ACCT2542-topic_aligned_low_evidence-r8-s202-feature-116,ACCT2542,202,topic_aligned_low_evidence,ACCT2542-R001,unsure,,yes,yes,yes,unsure,needs_discussion,no
FEATURE-SYN-003,ACCT2542-topic_aligned_low_evidence-r8-s203-feature-063,ACCT2542,203,topic_aligned_low_evidence,ACCT2542-R001,yes,,no,yes,yes,no,needs_discussion,no
FEATURE-SYN-004,ACCT2542-topic_aligned_reframing-r8-s201-feature-036,ACCT2542,201,topic_aligned_reframing,ACCT2542-R001,unsure,,yes,yes,yes,unsure,accept,no
FEATURE-SYN-005,ACCT2542-topic_aligned_reframing-r8-s202-feature-096,ACCT2542,202,topic_aligned_reframing,ACCT2542-R001,yes,,yes,yes,yes,no,accept,unsure
FEATURE-SYN-006,ACCT2542-topic_aligned_reframing-r8-s203-feature-092,ACCT2542,203,topic_aligned_reframing,ACCT2542-R001,no,,yes,yes,yes,no,accept,no
FEATURE-SYN-007,COMM1150-topic_aligned_low_evidence-r8-s201-feature-160,COMM1150,201,topic_aligned_low_evidence,COMM1150-R002,no,,no,yes,yes,no,accept,no
FEATURE-SYN-008,COMM1150-topic_aligned_low_evidence-r8-s202-feature-056,COMM1150,202,topic_aligned_low_evidence,COMM1150-R002,no,,no,yes,yes,no,accept,no
FEATURE-SYN-009,COMM1150-topic_aligned_low_evidence-r8-s203-feature-045,COMM1150,203,topic_aligned_low_evidence,COMM1150-R002,yes,,yes,yes,yes,unsure,accept,no
FEATURE-SYN-010,COMM1150-topic_aligned_reframing-r8-s201-feature-063,COMM1150,201,topic_aligned_reframing,COMM1150-R002,no,,yes,yes,yes,no,accept,no
FEATURE-SYN-011,COMM1150-topic_aligned_reframing-r8-s202-feature-041,COMM1150,202,topic_aligned_reframing,COMM1150-R002,yes,,no,yes,yes,no,accept,no
FEATURE-SYN-012,COMM1150-topic_aligned_reframing-r8-s203-feature-041,COMM1150,203,topic_aligned_reframing,COMM1150-R002,yes,,yes,yes,yes,yes,accept,no
FEATURE-SYN-013,COMP3411-topic_aligned_low_evidence-r8-s201-feature-154,COMP3411,201,topic_aligned_low_evidence,COMP3411-R002,yes,,yes,yes,yes,no,accept,no
FEATURE-SYN-014,COMP3411-topic_aligned_low_evidence-r8-s202-feature-035,COMP3411,202,topic_aligned_low_evidence,COMP3411-R002,yes,,yes,yes,yes,no,accept,no
FEATURE-SYN-015,COMP3411-topic_aligned_low_evidence-r8-s203-feature-082,COMP3411,203,topic_aligned_low_evidence,COMP3411-R002,yes,,yes,yes,yes,no,accept,no
FEATURE-SYN-016,COMP3411-topic_aligned_reframing-r8-s201-feature-147,COMP3411,201,topic_aligned_reframing,COMP3411-R002,no,,no,yes,yes,no,accept,no
FEATURE-SYN-017,COMP3411-topic_aligned_reframing-r8-s202-feature-122,COMP3411,202,topic_aligned_reframing,COMP3411-R002,no,,no,yes,yes,yes,accept,no
FEATURE-SYN-018,COMP3411-topic_aligned_reframing-r8-s203-feature-107,COMP3411,203,topic_aligned_reframing,COMP3411-R002,yes,,yes,yes,yes,yes,accept,no
FEATURE-SYN-019,COMP9020-topic_aligned_low_evidence-r8-s201-feature-128,COMP9020,201,topic_aligned_low_evidence,COMP9020-R001,no,,no,yes,yes,no,accept,no
FEATURE-SYN-020,COMP9020-topic_aligned_low_evidence-r8-s202-feature-144,COMP9020,202,topic_aligned_low_evidence,COMP9020-R001,no,,no,yes,yes,no,accept,no
FEATURE-SYN-021,COMP9020-topic_aligned_low_evidence-r8-s203-feature-080,COMP9020,203,topic_aligned_low_evidence,COMP9020-R001,no,,yes,yes,yes,yes,accept,no
FEATURE-SYN-022,COMP9020-topic_aligned_reframing-r8-s201-feature-068,COMP9020,201,topic_aligned_reframing,COMP9020-R001,yes,,yes,yes,yes,yes,accept,no
FEATURE-SYN-023,COMP9020-topic_aligned_reframing-r8-s202-feature-025,COMP9020,202,topic_aligned_reframing,COMP9020-R001,yes,,yes,yes,yes,yes,accept,no
FEATURE-SYN-024,COMP9020-topic_aligned_reframing-r8-s203-feature-066,COMP9020,203,topic_aligned_reframing,COMP9020-R001,yes,,yes,yes,yes,yes,accept,no
FEATURE-SYN-025,COMP9321-topic_aligned_low_evidence-r8-s201-feature-084,COMP9321,201,topic_aligned_low_evidence,COMP9321-R001,no,,yes,yes,yes,yes,accept,no
FEATURE-SYN-026,COMP9321-topic_aligned_low_evidence-r8-s202-feature-078,COMP9321,202,topic_aligned_low_evidence,COMP9321-R001,no,,yes,yes,yes,yes,accept,no
FEATURE-SYN-027,COMP9321-topic_aligned_low_evidence-r8-s203-feature-006,COMP9321,203,topic_aligned_low_evidence,COMP9321-R001,no,,yes,yes,yes,yes,accept,no
FEATURE-SYN-028,COMP9321-topic_aligned_reframing-r8-s201-feature-092,COMP9321,201,topic_aligned_reframing,COMP9321-R001,yes,,yes,yes,yes,yes,accept,no
FEATURE-SYN-029,COMP9321-topic_aligned_reframing-r8-s202-feature-092,COMP9321,202,topic_aligned_reframing,COMP9321-R001,no,,yes,yes,yes,yes,accept,no
FEATURE-SYN-030,COMP9321-topic_aligned_reframing-r8-s203-feature-056,COMP9321,203,topic_aligned_reframing,COMP9321-R001,no,,yes,yes,yes,yes,accept,no
FEATURE-SYN-031,ECON1101-topic_aligned_low_evidence-r8-s201-feature-105,ECON1101,201,topic_aligned_low_evidence,ECON1101-R001,no,,yes,yes,yes,yes,accept,no
FEATURE-SYN-032,ECON1101-topic_aligned_low_evidence-r8-s202-feature-101,ECON1101,202,topic_aligned_low_evidence,ECON1101-R001,no,,no,yes,yes,no,accept,no
FEATURE-SYN-033,ECON1101-topic_aligned_low_evidence-r8-s203-feature-036,ECON1101,203,topic_aligned_low_evidence,ECON1101-R001,no,,yes,yes,yes,yes,accept,no
FEATURE-SYN-034,ECON1101-topic_aligned_reframing-r8-s201-feature-134,ECON1101,201,topic_aligned_reframing,ECON1101-R001,no,,no,yes,yes,no,accept,no
