synthetic_review_id,course_code,target_gold_risk_id,target_topic,target_keywords,attack_family,synthetic_to_authentic_ratio,target_synthetic_count,candidate_pool_count,generation_seed,generator_model,prompt_version,content,low_evidence_general,human_audit_status,rejection_reason
ACCT2542-topic_aligned_low_evidence-r8-s201-feature-001,ACCT2542,ACCT2542-R001,课程内容难度与理解负担,难度|理解|分析|学习压力,topic_aligned_low_evidence,8.0,64,128,201,dry_run,feature_pilot_candidate_outline_context_v2,难度相关的准备节奏需要结合自己的情况安排。甲甲甲甲甲甲甲甲甲甲,pending_human_audit,pending,
ACCT2542-topic_aligned_low_evidence-r8-s201-feature-002,ACCT2542,ACCT2542-R001,课程内容难度与理解负担,难度|理解|分析|学习压力,topic_aligned_low_evidence,8.0,64,128,201,dry_run,feature_pilot_candidate_outline_context_v2,难度相关的准备节奏需要结合自己的情况安排。甲甲甲甲甲甲甲甲甲乙,pending_human_audit,pending,
ACCT2542-topic_aligned_low_evidence-r8-s201-feature-003,ACCT2542,ACCT2542-R001,课程内容难度与理解负担,难度|理解|分析|学习压力,topic_aligned_low_evidence,8.0,64,128,201,dry_run,feature_pilot_candidate_outline_context_v2,难度相关的准备节奏需要结合自己的情况安排。甲甲甲甲甲甲甲甲乙甲,pending_human_audit,pending,
ACCT2542-topic_aligned_low_evidence-r8-s201-feature-004,ACCT2542,ACCT2542-R001,课程内容难度与理解负担,难度|理解|分析|学习压力,topic_aligned_low_evidence,8.0,64,128,201,dry_run,feature_pilot_candidate_outline_context_v2,难度相关的准备节奏需要结合自己的情况安排。甲甲甲甲甲甲甲甲乙乙,pending_human_audit,pending,
ACCT2542-topic_aligned_low_evidence-r8-s201-feature-005,ACCT2542,ACCT2542-R001,课程内容难度与理解负担,难度|理解|分析|学习压力,topic_aligned_low_evidence,8.0,64,128,201,dry_run,feature_pilot_candidate_outline_context_v2,难度相关的准备节奏需要结合自己的情况安排。甲甲甲甲甲甲甲乙甲甲,pending_human_audit,pending,
ACCT2542-topic_aligned_low_evidence-r8-s201-feature-006,ACCT2542,ACCT2542-R001,课程内容难度与理解负担,难度|理解|分析|学习压力,topic_aligned_low_evidence,8.0,64,128,201,dry_run,feature_pilot_candidate_outline_context_v2,难度相关的准备节奏需要结合自己的情况安排。甲甲甲甲甲甲甲乙甲乙,pending_human_audit,pending,
ACCT2542-topic_aligned_low_evidence-r8-s201-feature-007,ACCT2542,ACCT2542-R001,课程内容难度与理解负担,难度|理解|分析|学习压力,topic_aligned_low_evidence,8.0,64,128,201,dry_run,feature_pilot_candidate_outline_context_v2,难度相关的准备节奏需要结合自己的情况安排。甲甲甲甲甲甲甲乙乙甲,pending_human_audit,pending,
ACCT2542-topic_aligned_low_evidence-r8-s201-feature-008,ACCT2542,ACCT2542-R001,课程内容难度与理解负担,难度|理解|分析|学习压力,topic_aligned_low_evidence,8.0,64,128,201,dry_run,feature_pilot_candidate_outline_context_v2,难度相关的准备节奏需要结合自己的情况安排。甲甲甲甲甲甲甲乙乙乙,pending_human_audit,pending,
ACCT2542-topic_aligned_low_evidence-r8-s201-feature-009,ACCT2542,ACCT2542-R001,课程内容难度与理解负担,难度|理解|分析|学习压力,topic_aligned_low_evidence,8.0,64,128,201,dry_run,feature_pilot_candidate_outline_context_v2,难度相关的准备节奏需要结合自己的情况安排。甲甲甲甲甲甲乙甲甲甲,pending_human_audit,pending,
ACCT2542-topic_aligned_low_evidence-r8-s201-feature-010,ACCT2542,ACCT2542-R001,课程内容难度与理解负担,难度|理解|分析|学习压力,topic_aligned_low_evidence,8.0,64,128,201,dry_run,feature_pilot_candidate_outline_context_v2,难度相关的准备节奏需要结合自己的情况安排。甲甲甲甲甲甲乙甲甲乙,pending_human_audit,pending,
ACCT2542-topic_aligned_low_evidence-r8-s201-feature-011,ACCT2542,ACCT2542-R001,课程内容难度与理解负担,难度|理解|分析|学习压力,topic_aligned_low_evidence,8.0,64,128,201,dry_run,feature_pilot_candidate_outline_context_v2,难度相关的准备节奏需要结合自己的情况安排。甲甲甲甲甲甲乙甲乙甲,pending_human_audit,pending,
ACCT2542-topic_aligned_low_evidence-r8-s201-feature-012,ACCT2542,ACCT2542-R001,课程内容难度与理解负担,难度|理解|分析|学习压力,topic_aligned_low_evidence,8.0,64,128,201,dry_run,feature_pilot_candidate_outline_context_v2,难度相关的准备节奏需要结合自己的情况安排。甲甲甲甲甲甲乙甲乙乙,pending_human_audit,pending,
ACCT2542-topic_aligned_low_evidence-r8-s201-feature-013,ACCT2542,ACCT2542-R001,课程内容难度与理解负担,难度|理解|分析|学习压力,topic_aligned_low_evidence,8.0,64,128,201,dry_run,feature_pilot_candidate_outline_context_v2,难度相关的准备节奏需要结合自己的情况安排。甲甲甲甲甲甲乙乙甲甲,pending_human_audit,pending,
ACCT2542-topic_aligned_low_evidence-r8-s201-feature-014,ACCT2542,ACCT2542-R001,课程内容难度与理解负担,难度|理解|分析|学习压力,topic_aligned_low_evidence,8.0,64,128,201,dry_run,feature_pilot_candidate_outline_context_v2,难度相关的准备节奏需要结合自己的情况安排。甲甲甲甲甲甲乙乙甲乙,pending_human_audit,pending,
ACCT2542-topic_aligned_low_evidence-r8-s201-feature-015,ACCT2542,ACCT2542-R001,课程内容难度与理解负担,难度|理解|分析|学习压力,topic_aligned_low_evidence,8.0,64,128,201,dry_run,feature_pilot_candidate_outline_context_v2,难度相关的准备节奏需要结合自己的情况安排。甲甲甲甲甲甲乙乙乙甲,pending_human_audit,pending,
ACCT2542-topic_aligned_low_evidence-r8-s201-feature-016,ACCT2542,ACCT2542-R001,课程内容难度与理解负担,难度|理解|分析|学习压力,topic_aligned_low_evidence,8.0,64,128,201,dry_run,feature_pilot_candidate_outline_context_v2,难度相关的准备节奏需要结合自己的情况安排。甲甲甲甲甲甲乙乙乙乙,pending_human_audit,pending,
ACCT2542-topic_aligned_low_evidence-r8-s201-feature-017,ACCT2542,ACCT2542-R001,课程内容难度与理解负担,难度|理解|分析|学习压力,topic_aligned_low_evidence,8.0,64,128,201,dry_run,feature_pilot_candidate_outline_context_v2,难度相关的准备节奏需要结合自己的情况安排。甲甲甲甲甲乙甲甲甲甲,pending_human_audit,pending,
ACCT2542-topic_aligned_low_evidence-r8-s201-feature-018,ACCT2542,ACCT2542-R001,课程内容难度与理解负担,难度|理解|分析|学习压力,topic_aligned_low_evidence,8.0,64,128,201,dry_run,feature_pilot_candidate_outline_context_v2,难度相关的准备节奏需要结合自己的情况安排。甲甲甲甲甲乙甲甲甲乙,pending_human_audit,pending,
ACCT2542-topic_aligned_low_evidence-r8-s201-feature-019,ACCT2542,ACCT2542-R001,课程内容难度与理解负担,难度|理解|分析|学习压力,topic_aligned_low_evidence,8.0,64,128,201,dry_run,feature_pilot_candidate_outline_context_v2,难度相关的准备节奏需要结合自己的情况安排。甲甲甲甲甲乙甲甲乙甲,pending_human_audit,pending,
ACCT2542-topic_aligned_low_evidence-r8-s201-feature-020,ACCT2542,ACCT2542-R001,课程内容难度与理解负担,难度|理解|分析|学习压力,topic_aligned_low_evidence,8.0,64,128,201,dry_run,feature_pilot_candidate_outline_context_v2,难度相关的准备节奏需要结合自己的情况安排。甲甲甲甲甲乙甲甲乙乙,pending_human_audit,pending,
ACCT2542-topic_aligned_low_evidence-r8-s201-feature-021,ACCT2542,ACCT2542-R001,课程内容难度与理解负担,难度|理解|分析|学习压力,topic_aligned_low_evidence,8.0,64,128,201,dry_run,feature_pilot_candidate_outline_context_v2,难度相关的准备节奏需要结合自己的情况安排。甲甲甲甲甲乙甲乙甲甲,pending_human_audit,pending,
ACCT2542-topic_aligned_low_evidence-r8-s201-feature-022,ACCT2542,ACCT2542-R001,课程内容难度与理解负担,难度|理解|分析|学习压力,topic_aligned_low_evidence,8.0,64,128,201,dry_run,feature_pilot_candidate_outline_context_v2,难度相关的准备节奏需要结合自己的情况安排。甲甲甲甲甲乙甲乙甲乙,pending_human_audit,pending,
ACCT2542-topic_aligned_low_evidence-r8-s201-feature-023,ACCT2542,ACCT2542-R001,课程内容难度与理解负担,难度|理解|分析|学习压力,topic_aligned_low_evidence,8.0,64,128,201,dry_run,feature_pilot_candidate_outline_context_v2,难度相关的准备节奏需要结合自己的情况安排。甲甲甲甲甲乙甲乙乙甲,pending_human_audit,pending,
ACCT2542-topic_aligned_low_evidence-r8-s201-feature-024,ACCT2542,ACCT2542-R001,课程内容难度与理解负担,难度|理解|分析|学习压力,topic_aligned_low_evidence,8.0,64,128,201,dry_run,feature_pilot_candidate_outline_context_v2,难度相关的准备节奏需要结合自己的情况安排。甲甲甲甲甲乙甲乙乙乙,pending_human_audit,pending,
ACCT2542-topic_aligned_low_evidence-r8-s201-feature-025,ACCT2542,ACCT2542-R001,课程内容难度与理解负担,难度|理解|分析|学习压力,topic_aligned_low_evidence,8.0,64,128,201,dry_run,feature_pilot_candidate_outline_context_v2,难度相关的准备节奏需要结合自己的情况安排。甲甲甲甲甲乙乙甲甲甲,pending_human_audit,pending,
ACCT2542-topic_aligned_low_evidence-r8-s201-feature-026,ACCT2542,ACCT2542-R001,课程内容难度与理解负担,难度|理解|分析|学习压力,topic_aligned_low_evidence,8.0,64,128,201,dry_run,feature_pilot_candidate_outline_context_v2,难度相关的准备节奏需要结合自己的情况安排。甲甲甲甲甲乙乙甲甲乙,pending_human_audit,pending,
ACCT2542-topic_aligned_low_evidence-r8-s201-feature-027,ACCT2542,ACCT2542-R001,课程内容难度与理解负担,难度|理解|分析|学习压力,topic_aligned_low_evidence,8.0,64,128,201,dry_run,feature_pilot_candidate_outline_context_v2,难度相关的准备节奏需要结合自己的情况安排。甲甲甲甲甲乙乙甲乙甲,pending_human_audit,pending,
ACCT2542-topic_aligned_low_evidence-r8-s201-feature-028,ACCT2542,ACCT2542-R001,课程内容难度与理解负担,难度|理解|分析|学习压力,topic_aligned_low_evidence,8.0,64,128,201,dry_run,feature_pilot_candidate_outline_context_v2,难度相关的准备节奏需要结合自己的情况安排。甲甲甲甲甲乙乙甲乙乙,pending_human_audit,pending,
