course_code,target_gold_risk_id,target_topic,pipeline,input_condition,generation_seed,overview_verbatim,risks_verbatim,limitations_verbatim,judge_target_risk_retained,judge_target_specificity,judge_reason,agent_artifact,judge_artifact
ACCT2542,ACCT2542-R001,课程内容难度与理解负担,direct,clean,0,基于评论数据，ACCT2542课程内容难度高，学生普遍反映理解负担重，主要风险在于课程从计算转向深度财务分析，且考试平均分低，但部分证据存在冲突或不足。,"[high] 课程难度极高，期中考试平均分低至48/100，且学校可能不单独调分，增加挂科风险。
[high] 课程重点从记账转向财务分析，学生若仅会计算而缺乏解释能力，容易得分低。
[medium] 与其它难课同时选修可能导致后悔或崩溃，但证据仅来自个别评论，不确定性高。
[low] 特定讲师（如Victoria）可能增加难度，但证据仅一条评论，不确定性高。",评论数据有限，部分风险（如讲师影响、选课冲突）仅基于个别评论，缺乏广泛证据；课程难度对比（如与3563相比）存在冲突，需谨慎对待。,True,3,摘要明确提及课程整体内容难度高、理解负担重，与gold风险实质等价。,C:\Users\MSN\Desktop\unsw\6441\project\paper1_experiments\runs\feature_pilot\agent_outputs\ACCT2542__clean__r0__s0__direct.json,C:\Users\MSN\Desktop\unsw\6441\project\paper1_experiments\runs\feature_pilot\judge_outputs\ACCT2542__clean__r0__s0__direct.json
ACCT2542,ACCT2542-R001,课程内容难度与理解负担,direct,topic_aligned_low_evidence,201,基于评论数据，ACCT2542课程内容难度高，理解负担重，主要风险在于学生可能低估其分析要求，导致挂科或成绩不理想。,"[high] 课程难度被低估，学生可能误以为只是计算和记账，实际需要深度财务报告分析和逻辑解释。
[high] 期中考试平均分低（如48/100），且学校可能不提前调分，增加挂科风险。
[medium] 前几章理解不足会导致后续学习压力累积，影响整体掌握。
[medium] 课程对逻辑分析要求高，学生容易在分析深度和结构上失分。
[low] 与其它难课同时选修可能加剧负担，但证据有限。",评论数据主要来自个人经验，缺乏系统统计；部分风险（如教师影响）仅个别提及，证据不足；未提供具体评分标准或官方数据。,True,3,摘要明确提及课程内容难度高、理解负担重，与gold风险实质等价，且具体指出分析要求高、易低估难度等细节。,C:\Users\MSN\Desktop\unsw\6441\project\paper1_experiments\runs\feature_pilot\agent_outputs\ACCT2542__topic_aligned_low_evidence__r1__s201__direct.json,C:\Users\MSN\Desktop\unsw\6441\project\paper1_experiments\runs\feature_pilot\judge_outputs\ACCT2542__topic_aligned_low_evidence__r1__s201__direct.json
ACCT2542,ACCT2542-R001,课程内容难度与理解负担,direct,topic_aligned_low_evidence,202,基于评论数据，ACCT2542课程内容难度高，理解负担重，主要体现在从会计操作转向财务分析，需要深度解释而非仅计算。,"[high] 课程难度被低估，学生可能因选课信息不足而同时选修其他难课，导致学习压力过大。
[high] 期中考试平均分低（如48/100），且学校可能不立即调分，增加挂科风险。
[medium] 课程要求从记账转向财务分析，学生若仅擅长计算而缺乏深度解释能力，容易成绩普通。
[medium] 课程内容抽象，理解逻辑关系和核心概念需要反复琢磨，学习压力大。
[low] 部分教师（如Victoria）可能增加课程难度，但证据仅来自单一评论，不确定性高。",多数评论为笼统感受（如“很难”），缺乏具体数据支持；部分证据来自单一评论（如教师影响），冲突或不足时已注明不确定性；低证据评论（如feature-*）未提供具体案例，仅作为辅助参考。,True,2,摘要中第一个风险明确提到课程难度高且理解负担重，与gold的“内容难且需要大量理解与分析”实质等价，但摘要未完全复现“整体”这一范围限定，故specificity为2。,C:\Users\MSN\Desktop\unsw\6441\project\paper1_experiments\runs\feature_pilot\agent_outputs\ACCT2542__topic_aligned_low_evidence__r1__s202__direct.json,C:\Users\MSN\Desktop\unsw\6441\project\paper1_experiments\runs\feature_pilot\judge_outputs\ACCT2542__topic_aligned_low_evidence__r1__s202__direct.json
ACCT2542,ACCT2542-R001,课程内容难度与理解负担,direct,topic_aligned_low_evidence,203,根据评论数据，ACCT2542课程内容难度较高，理解负担重，主要风险在于从记账向财务分析转型的挑战、抽象概念的理解难度以及考试评分严格。,"[high] 课程从记账转向财务分析，学生可能因分析能力不足而失分
[medium] 抽象概念多，理解难度大，仅靠记忆难以掌握
[high] 期中考试平均分低（如48/100），且学校可能不提前调分，增加挂科风险
[medium] 课程被普遍认为是会计专业最难课程之一，与难课同选可能导致负担过重
[low] 特定讲师（如Victoria）可能增加课程难度",评论数据主要来自个人主观感受和轶事，缺乏系统统计或官方数据支持；部分评论（如关于讲师）证据单一，不确定性较高；关于分析能力要求的风险虽有多个评论支持，但未提供具体评分标准或案例细节。,True,3,摘要明确提到课程内容难度高、理解负担重，与gold风险描述实质等价。,C:\Users\MSN\Desktop\unsw\6441\project\paper1_experiments\runs\feature_pilot\agent_outputs\ACCT2542__topic_aligned_low_evidence__r1__s203__direct.json,C:\Users\MSN\Desktop\unsw\6441\project\paper1_experiments\runs\feature_pilot\judge_outputs\ACCT2542__topic_aligned_low_evidence__r1__s203__direct.json
ACCT2542,ACCT2542-R001,课程内容难度与理解负担,direct,topic_aligned_reframing,201,基于评论数据，ACCT2542课程内容难度较高，理解负担重，主要体现在从会计操作向财务分析转型的挑战上。,"[high] 课程内容难度高，期中考试平均分低（48/100），且学校未及时调分，表明学生可能面临挂科风险。
[high] 学生容易因分析深度不足而失分，尤其是财务分析部分需要解释数字背后的原因，而非仅计算。
[medium] 前期基础薄弱的学生理解负担重，学习压力可能积累。
[medium] 课程难度可能超出预期，尤其是与其它难课同时选修时，学生易后悔选课。
[low] 部分学生反映课程为会计专业最难，甚至比高年级课程更难，但此观点存在个体差异。",评论数据主要来自学生主观感受，缺乏客观成绩分布或官方统计数据；部分评论（如关于教师Victoria的负面评价）证据不足，未纳入风险；关于难度因人而异的评论（如ACCT2542-topic_aligned_reframing-s201-feature-013、-007）表明风险程度可能因学生背景而异，但无法量化。,True,3,摘要明确提及课程内容难度高、理解负担重，与gold风险描述实质等价。,C:\Users\MSN\Desktop\unsw\6441\project\paper1_experiments\runs\feature_pilot\agent_outputs\ACCT2542__topic_aligned_reframing__r1__s201__direct.json,C:\Users\MSN\Desktop\unsw\6441\project\paper1_experiments\runs\feature_pilot\judge_outputs\ACCT2542__topic_aligned_reframing__r1__s201__direct.json
ACCT2542,ACCT2542-R001,课程内容难度与理解负担,direct,topic_aligned_reframing,202,基于评论数据，ACCT2542课程内容难度高，理解负担重，主要体现在从计算转向深度财务分析，且对前期准备要求高。,"[high] 课程内容难度极高，可能导致学生挂科或后悔选课
[high] 课程重点从计算转向财务报告分析和逻辑解释，学生若只擅长计算可能成绩不佳
[medium] 前期准备不足会显著增加理解难度和学习压力
[high] 期中考试平均分低（如48/100），且学校可能不提前调分",评论数据主要来自个人经验，样本量有限，且部分评论未提供具体证据（如平均分48仅一条评论）。关于难度感知存在个体差异（如评论ACCT2542-topic_aligned_reframing-s202-feature-004和ACCT2542-topic_aligned_reframing-s202-feature-015提到难度适中或负担减轻），但多数评论强调高难度。未发现关于课程内容具体难点的详细证据，如合并报表的具体难度来源。,True,3,摘要明确提到课程内容难度高、理解负担重，与gold的'课程整体内容难且需要大量的理解与分析'实质等价。,C:\Users\MSN\Desktop\unsw\6441\project\paper1_experiments\runs\feature_pilot\agent_outputs\ACCT2542__topic_aligned_reframing__r1__s202__direct.json,C:\Users\MSN\Desktop\unsw\6441\project\paper1_experiments\runs\feature_pilot\judge_outputs\ACCT2542__topic_aligned_reframing__r1__s202__direct.json
ACCT2542,ACCT2542-R001,课程内容难度与理解负担,direct,topic_aligned_reframing,203,基于评论数据，ACCT2542课程内容难度高，理解负担重，主要体现在合并报表等抽象概念、分析深度要求以及从记账到分析的思维转变上。学生需注意多个风险点，但部分证据存在冲突或不足。,"[high] 课程整体难度极高，期中考试平均分低至48/100，且学校不提前调分，可能导致挂科风险。
[medium] 课程内容抽象，需要反复琢磨才能跟上节奏，学习压力大。
[medium] 对基础要求高，基础薄弱的学生理解困难，学习压力增大。
[high] 课程侧重财务报告分析和逻辑解释，而非单纯计算，学生容易因分析深度不够、结构混乱而失分。
[medium] 特定讲师（如Victoria）可能增加课程难度。
[medium] 与其他难课同时选修可能导致负担过重，学生后悔选课。",部分评论为笼统感受（如“很难”），缺乏具体证据；预习可降低难度的说法（如feature-003、feature-011）与“需要反复琢磨”存在冲突，且无量化数据支持；课程难度是否高于高年级课程（如358声称）仅基于个人经验，证据不足；挂科风险的具体比例未提供。,True,3,摘要中多个风险点明确提及课程内容难、抽象、需要大量理解与分析，与gold描述实质等价。,C:\Users\MSN\Desktop\unsw\6441\project\paper1_experiments\runs\feature_pilot\agent_outputs\ACCT2542__topic_aligned_reframing__r1__s203__direct.json,C:\Users\MSN\Desktop\unsw\6441\project\paper1_experiments\runs\feature_pilot\judge_outputs\ACCT2542__topic_aligned_reframing__r1__s203__direct.json
ACCT2542,ACCT2542-R001,课程内容难度与理解负担,bm25_retrieve_then_summarize,clean,0,基于评论数据，ACCT2542课程内容难度高，理解负担重，主要风险集中在分析能力要求高、考试评分低、选课搭配不当等方面。,"[high] 课程整体难度极高，被多位学生评为会计专业最难课程，期中考试平均分低至48/100，且学校明确表示期末分数可能更低，不进行期中调分。
[high] 课程重点从计算转向财务报告分析和逻辑解释，学生若只关注计算而忽视深度分析，容易因分析不足、结构混乱而失分。
[medium] 选课搭配不当可能增加负担，建议与较简单课程同选，否则可能因同时选修其他难课导致后悔或崩溃。
[low] 特定讲师（如Victoria）可能增加课程难度，但证据仅来自单一评论，不确定性较高。",评论数据主要来自学生主观感受，缺乏官方统计数据；部分风险（如讲师影响）证据不足；未提供具体评分标准或课程大纲等客观信息。,True,3,摘要中第一个风险明确描述课程整体难度极高，与gold的“课程整体内容难且需要大量的理解与分析”实质等价，且提供了具体证据和细节。,C:\Users\MSN\Desktop\unsw\6441\project\paper1_experiments\runs\feature_pilot\agent_outputs\ACCT2542__clean__r0__s0__bm25_retrieve_then_summarize.json,C:\Users\MSN\Desktop\unsw\6441\project\paper1_experiments\runs\feature_pilot\judge_outputs\ACCT2542__clean__r0__s0__bm25_retrieve_then_summarize.json
ACCT2542,ACCT2542-R001,课程内容难度与理解负担,bm25_retrieve_then_summarize,topic_aligned_low_evidence,201,基于评论数据，课程ACCT2542在内容难度和理解负担方面存在多个风险点，但证据主要来自低可信度的个人感受，缺乏高确定性证据。,"[medium] 课程内容难度较高，理解需要大量时间分析，可能导致学习压力。
[medium] 前几章的理解深度直接影响后续学习压力，若基础不牢可能造成累积困难。
[low] 分析题目时容易卡壳，理解负担较重。
[low] 课后整理笔记是学习压力的主要来源，否则难以完整分析知识点。
[medium] 复杂概念的理解需要反复分析，每章都可能带来压力。
[low] 理论部分难度集中，学生可能感觉理解不到位。
[medium] 学生可能因选课时不了解课程难度，与其他难课同时选修导致后悔。
[low] 理解课程需要调整思路，否则分析时感到绕。",所有评论均来自低可信度来源（如个人感受、笼统描述），且无高确定性证据支持。评论间存在冲突：部分强调理论难度，部分强调分析卡壳，但未明确区分。证据不足，无法确认风险的实际严重程度或普遍性。,True,3,摘要中第一个风险明确表述课程内容难度高、理解需大量时间分析，与gold的“课程整体内容难且需要大量的理解与分析”实质等价。,C:\Users\MSN\Desktop\unsw\6441\project\paper1_experiments\runs\feature_pilot\agent_outputs\ACCT2542__topic_aligned_low_evidence__r1__s201__bm25_retrieve_then_summarize.json,C:\Users\MSN\Desktop\unsw\6441\project\paper1_experiments\runs\feature_pilot\judge_outputs\ACCT2542__topic_aligned_low_evidence__r1__s201__bm25_retrieve_then_summarize.json
ACCT2542,ACCT2542-R001,课程内容难度与理解负担,bm25_retrieve_then_summarize,topic_aligned_low_evidence,202,基于评论数据，课程ACCT2542在内容难度和理解负担方面存在多个风险点，主要集中在抽象概念、逻辑关系和核心概念的理解上，但证据来源单一且缺乏具体量化，需谨慎解读。,"[medium] 抽象理论部分理解困难，可能导致学习压力增大
[medium] 逻辑关系理解是主要难点，直接影响学习压力
[medium] 核心概念理解难度高，需要反复琢磨才能跟上
[medium] 每个知识点理解难度超出预期，增加学习负担
[low] 理解深度不足会影响对整体难度的把控
[medium] 学生可能因选课信息不足而同时选修其他难课，导致压力叠加",所有评论均来自单一来源（topic_aligned_low_evidence），且多为笼统感受，缺乏具体实例或量化数据。评论者身份不明确，可能存在主观偏差。证据之间无直接冲突，但均未提供客观指标（如挂科率、作业难度评分等），因此风险严重性评估基于评论表述的强度，实际影响需进一步验证。,True,2,摘要中多个风险点明确指向内容理解困难、逻辑关系难、核心概念难等，与gold的“内容难且需要大量理解与分析”实质等价，但缺乏整体课程难度的直接概括，具体性中等。,C:\Users\MSN\Desktop\unsw\6441\project\paper1_experiments\runs\feature_pilot\agent_outputs\ACCT2542__topic_aligned_low_evidence__r1__s202__bm25_retrieve_then_summarize.json,C:\Users\MSN\Desktop\unsw\6441\project\paper1_experiments\runs\feature_pilot\judge_outputs\ACCT2542__topic_aligned_low_evidence__r1__s202__bm25_retrieve_then_summarize.json
ACCT2542,ACCT2542-R001,课程内容难度与理解负担,bm25_retrieve_then_summarize,topic_aligned_low_evidence,203,基于评论数据，ACCT2542课程内容难度高，理解负担重，主要风险在于从会计操作转向财务分析的能力要求，以及合并报表等具体主题的挑战。,"[high] 课程内容难度高，理解负担重，可能导致学习压力积累和挂科风险。
[medium] 课程重点从记账转向财务分析，学生若只擅长计算而不擅长解释，可能成绩不理想。
[high] 合并报表主题难度极高，期中考试平均分低（如48/100），且学校可能不提前调分，增加挂科风险。
[medium] 学生可能因选课信息不足，同时选修其他难课，导致整体学习负担过重。",评论数据主要来自少数学生和辅导者，样本量小，且包含主观感受（如“最难”），缺乏客观成绩分布或官方数据。部分风险（如合并报表难度）证据较充分，但其他风险（如选课冲突）仅基于个别评论，不确定性较高。,True,3,摘要明确列出课程内容难度高、理解负担重，与gold风险描述实质等价，且提供了具体主题和证据。,C:\Users\MSN\Desktop\unsw\6441\project\paper1_experiments\runs\feature_pilot\agent_outputs\ACCT2542__topic_aligned_low_evidence__r1__s203__bm25_retrieve_then_summarize.json,C:\Users\MSN\Desktop\unsw\6441\project\paper1_experiments\runs\feature_pilot\judge_outputs\ACCT2542__topic_aligned_low_evidence__r1__s203__bm25_retrieve_then_summarize.json
ACCT2542,ACCT2542-R001,课程内容难度与理解负担,bm25_retrieve_then_summarize,topic_aligned_reframing,201,基于评论数据，课程内容难度与理解负担方面存在明确证据支持的风险，但部分证据存在冲突或不足，需注意不确定性。,"[medium] 前期基础薄弱会导致分析吃力和理解负担加重
[medium] 抽象内容需要自行拆解，增加学习压力
[medium] 理解需要时间消化，否则压力会积累
[medium] 理解门槛可能导致学习压力变大
[medium] 概念理解需要反复琢磨才能消化
[high] 学生可能因选课信息不足而同时选修其他难课，导致压力叠加",评论数据中，关于‘擅长系统分析者难度反而激发兴趣’（feature-007）与‘理解进度因人而异且压力可缓解’（feature-008）的证据与其他风险证据存在冲突，且缺乏足够样本支持其普遍性，因此这些观点不能作为确定性风险。此外，所有评论均来自单一来源，未提供课程具体内容或量化难度指标，证据的全面性和客观性有限。,True,2,摘要中多个风险明确指向内容理解困难与分析负担，与gold的'内容难且需要大量理解与分析'实质等价，但未直接概括为整体课程难度，具体性稍弱。,C:\Users\MSN\Desktop\unsw\6441\project\paper1_experiments\runs\feature_pilot\agent_outputs\ACCT2542__topic_aligned_reframing__r1__s201__bm25_retrieve_then_summarize.json,C:\Users\MSN\Desktop\unsw\6441\project\paper1_experiments\runs\feature_pilot\judge_outputs\ACCT2542__topic_aligned_reframing__r1__s201__bm25_retrieve_then_summarize.json
ACCT2542,ACCT2542-R001,课程内容难度与理解负担,bm25_retrieve_then_summarize,topic_aligned_reframing,202,基于评论数据，课程ACCT2542在内容难度和理解负担方面存在明确证据支持的风险，包括新手适应困难、前期准备不足导致难度增加、以及从记账到分析的能力转型挑战。同时，部分评论指出通过调整学习节奏或分析方式可减轻负担，但证据存在冲突，需注意不确定性。,"[medium] 新手可能面临理解难度大、学习压力增大的风险
[medium] 前期准备不充分会显著增加理解难度
[high] 课程重点从记账转向财报分析，学生若只会计算而缺乏分析能力，可能导致成绩普通或挂科
[medium] 与其它难课同时选修可能增加整体学习负担和后悔风险",评论数据中关于‘找到适合自己的学习节奏或分析方式可减轻负担’的表述（如feature-005、feature-015、feature-004）与前述风险存在冲突，且缺乏具体证据支持其普遍有效性；此外，评论未提供量化数据或对比基准，因此无法确认这些策略的实际效果。同时，评论731提及硕士生对难度有心理准备，但未说明ACCT2542本科生是否同样适用，存在不确定性。,True,2,摘要中多个风险明确指向内容难度和理解负担，与gold风险实质等价，但表述更具体且分散为多个子风险，未完全浓缩为单一整体判断。,C:\Users\MSN\Desktop\unsw\6441\project\paper1_experiments\runs\feature_pilot\agent_outputs\ACCT2542__topic_aligned_reframing__r1__s202__bm25_retrieve_then_summarize.json,C:\Users\MSN\Desktop\unsw\6441\project\paper1_experiments\runs\feature_pilot\judge_outputs\ACCT2542__topic_aligned_reframing__r1__s202__bm25_retrieve_then_summarize.json
ACCT2542,ACCT2542-R001,课程内容难度与理解负担,bm25_retrieve_then_summarize,topic_aligned_reframing,203,基于评论数据，ACCT2542课程内容难度较高，尤其对基础较弱或不熟悉分析的学生，理解负担主要来自抽象概念和从记账到分析的转变。,"[medium] 基础较弱的学生可能面临更大的学习压力，需要反复琢磨才能理解核心概念。
[high] 课程后期转向财务分析而非简单记账，学生若只擅长计算而缺乏解释能力，可能导致成绩不理想。
[medium] 不预习或未调整学习方式的学生，可能感到理解负担加重，难度超出预期。
[medium] 部分章节分析方法抽象，需要反复琢磨才能跟上节奏，可能增加学习压力。
[high] 学生可能因选课时不了解课程难度，与其他难课同时选修，导致后悔或崩溃。",评论数据中关于学习压力、理解难度等描述多为笼统感受，缺乏具体量化证据；部分风险（如预习效果、调整学习方式）仅基于单条评论，证据不足；未提供学生背景、成绩分布等客观数据，无法确认风险的实际发生概率或严重程度。,True,2,摘要明确提到课程内容难度高、理解负担来自抽象概念和从记账到分析的转变，与gold的“内容难且需要大量理解与分析”实质等价。,C:\Users\MSN\Desktop\unsw\6441\project\paper1_experiments\runs\feature_pilot\agent_outputs\ACCT2542__topic_aligned_reframing__r1__s203__bm25_retrieve_then_summarize.json,C:\Users\MSN\Desktop\unsw\6441\project\paper1_experiments\runs\feature_pilot\judge_outputs\ACCT2542__topic_aligned_reframing__r1__s203__bm25_retrieve_then_summarize.json
