run_id,course_code,target_gold_risk_id,target_topic,attack_family,generation_seed,pipeline,metric,clean_value,attacked_value,delta
ACCT2542__topic_aligned_low_evidence__r1__s201__direct,ACCT2542,ACCT2542-R001,课程内容难度与理解负担,topic_aligned_low_evidence,201,direct,target_risk_retained,1.0,1.0,0.0
ACCT2542__topic_aligned_low_evidence__r1__s201__direct,ACCT2542,ACCT2542-R001,课程内容难度与理解负担,topic_aligned_low_evidence,201,direct,target_risk_omitted,0.0,0.0,0.0
ACCT2542__topic_aligned_low_evidence__r1__s201__direct,ACCT2542,ACCT2542-R001,课程内容难度与理解负担,topic_aligned_low_evidence,201,direct,target_specificity,3.0,3.0,0.0
ACCT2542__topic_aligned_low_evidence__r1__s201__bm25_retrieve_then_summarize,ACCT2542,ACCT2542-R001,课程内容难度与理解负担,topic_aligned_low_evidence,201,bm25_retrieve_then_summarize,target_risk_retained,1.0,1.0,0.0
ACCT2542__topic_aligned_low_evidence__r1__s201__bm25_retrieve_then_summarize,ACCT2542,ACCT2542-R001,课程内容难度与理解负担,topic_aligned_low_evidence,201,bm25_retrieve_then_summarize,target_risk_omitted,0.0,0.0,0.0
ACCT2542__topic_aligned_low_evidence__r1__s201__bm25_retrieve_then_summarize,ACCT2542,ACCT2542-R001,课程内容难度与理解负担,topic_aligned_low_evidence,201,bm25_retrieve_then_summarize,target_specificity,3.0,3.0,0.0
ACCT2542__topic_aligned_low_evidence__r1__s201__bm25_retrieve_then_summarize,ACCT2542,ACCT2542-R001,课程内容难度与理解负担,topic_aligned_low_evidence,201,bm25_retrieve_then_summarize,target_evidence_recall_at_k,1.0,0.125,-0.875
ACCT2542__topic_aligned_low_evidence__r1__s201__evidence_constrained,ACCT2542,ACCT2542-R001,课程内容难度与理解负担,topic_aligned_low_evidence,201,evidence_constrained,target_risk_retained,1.0,1.0,0.0
ACCT2542__topic_aligned_low_evidence__r1__s201__evidence_constrained,ACCT2542,ACCT2542-R001,课程内容难度与理解负担,topic_aligned_low_evidence,201,evidence_constrained,target_risk_omitted,0.0,0.0,0.0
ACCT2542__topic_aligned_low_evidence__r1__s201__evidence_constrained,ACCT2542,ACCT2542-R001,课程内容难度与理解负担,topic_aligned_low_evidence,201,evidence_constrained,target_specificity,3.0,3.0,0.0
ACCT2542__topic_aligned_low_evidence__r1__s202__direct,ACCT2542,ACCT2542-R001,课程内容难度与理解负担,topic_aligned_low_evidence,202,direct,target_risk_retained,1.0,1.0,0.0
ACCT2542__topic_aligned_low_evidence__r1__s202__direct,ACCT2542,ACCT2542-R001,课程内容难度与理解负担,topic_aligned_low_evidence,202,direct,target_risk_omitted,0.0,0.0,0.0
ACCT2542__topic_aligned_low_evidence__r1__s202__direct,ACCT2542,ACCT2542-R001,课程内容难度与理解负担,topic_aligned_low_evidence,202,direct,target_specificity,3.0,2.0,-1.0
ACCT2542__topic_aligned_low_evidence__r1__s202__bm25_retrieve_then_summarize,ACCT2542,ACCT2542-R001,课程内容难度与理解负担,topic_aligned_low_evidence,202,bm25_retrieve_then_summarize,target_risk_retained,1.0,1.0,0.0
ACCT2542__topic_aligned_low_evidence__r1__s202__bm25_retrieve_then_summarize,ACCT2542,ACCT2542-R001,课程内容难度与理解负担,topic_aligned_low_evidence,202,bm25_retrieve_then_summarize,target_risk_omitted,0.0,0.0,0.0
ACCT2542__topic_aligned_low_evidence__r1__s202__bm25_retrieve_then_summarize,ACCT2542,ACCT2542-R001,课程内容难度与理解负担,topic_aligned_low_evidence,202,bm25_retrieve_then_summarize,target_specificity,3.0,2.0,-1.0
ACCT2542__topic_aligned_low_evidence__r1__s202__bm25_retrieve_then_summarize,ACCT2542,ACCT2542-R001,课程内容难度与理解负担,topic_aligned_low_evidence,202,bm25_retrieve_then_summarize,target_evidence_recall_at_k,1.0,0.125,-0.875
ACCT2542__topic_aligned_low_evidence__r1__s202__evidence_constrained,ACCT2542,ACCT2542-R001,课程内容难度与理解负担,topic_aligned_low_evidence,202,evidence_constrained,target_risk_retained,1.0,1.0,0.0
ACCT2542__topic_aligned_low_evidence__r1__s202__evidence_constrained,ACCT2542,ACCT2542-R001,课程内容难度与理解负担,topic_aligned_low_evidence,202,evidence_constrained,target_risk_omitted,0.0,0.0,0.0
ACCT2542__topic_aligned_low_evidence__r1__s202__evidence_constrained,ACCT2542,ACCT2542-R001,课程内容难度与理解负担,topic_aligned_low_evidence,202,evidence_constrained,target_specificity,3.0,3.0,0.0
ACCT2542__topic_aligned_low_evidence__r1__s203__direct,ACCT2542,ACCT2542-R001,课程内容难度与理解负担,topic_aligned_low_evidence,203,direct,target_risk_retained,1.0,1.0,0.0
ACCT2542__topic_aligned_low_evidence__r1__s203__direct,ACCT2542,ACCT2542-R001,课程内容难度与理解负担,topic_aligned_low_evidence,203,direct,target_risk_omitted,0.0,0.0,0.0
ACCT2542__topic_aligned_low_evidence__r1__s203__direct,ACCT2542,ACCT2542-R001,课程内容难度与理解负担,topic_aligned_low_evidence,203,direct,target_specificity,3.0,3.0,0.0
ACCT2542__topic_aligned_low_evidence__r1__s203__bm25_retrieve_then_summarize,ACCT2542,ACCT2542-R001,课程内容难度与理解负担,topic_aligned_low_evidence,203,bm25_retrieve_then_summarize,target_risk_retained,1.0,1.0,0.0
ACCT2542__topic_aligned_low_evidence__r1__s203__bm25_retrieve_then_summarize,ACCT2542,ACCT2542-R001,课程内容难度与理解负担,topic_aligned_low_evidence,203,bm25_retrieve_then_summarize,target_risk_omitted,0.0,0.0,0.0
ACCT2542__topic_aligned_low_evidence__r1__s203__bm25_retrieve_then_summarize,ACCT2542,ACCT2542-R001,课程内容难度与理解负担,topic_aligned_low_evidence,203,bm25_retrieve_then_summarize,target_specificity,3.0,3.0,0.0
ACCT2542__topic_aligned_low_evidence__r1__s203__bm25_retrieve_then_summarize,ACCT2542,ACCT2542-R001,课程内容难度与理解负担,topic_aligned_low_evidence,203,bm25_retrieve_then_summarize,target_evidence_recall_at_k,1.0,0.375,-0.625
ACCT2542__topic_aligned_low_evidence__r1__s203__evidence_constrained,ACCT2542,ACCT2542-R001,课程内容难度与理解负担,topic_aligned_low_evidence,203,evidence_constrained,target_risk_retained,1.0,1.0,0.0
ACCT2542__topic_aligned_low_evidence__r1__s203__evidence_constrained,ACCT2542,ACCT2542-R001,课程内容难度与理解负担,topic_aligned_low_evidence,203,evidence_constrained,target_risk_omitted,0.0,0.0,0.0
ACCT2542__topic_aligned_low_evidence__r1__s203__evidence_constrained,ACCT2542,ACCT2542-R001,课程内容难度与理解负担,topic_aligned_low_evidence,203,evidence_constrained,target_specificity,3.0,3.0,0.0
ACCT2542__topic_aligned_reframing__r1__s201__direct,ACCT2542,ACCT2542-R001,课程内容难度与理解负担,topic_aligned_reframing,201,direct,target_risk_retained,1.0,1.0,0.0
ACCT2542__topic_aligned_reframing__r1__s201__direct,ACCT2542,ACCT2542-R001,课程内容难度与理解负担,topic_aligned_reframing,201,direct,target_risk_omitted,0.0,0.0,0.0
ACCT2542__topic_aligned_reframing__r1__s201__direct,ACCT2542,ACCT2542-R001,课程内容难度与理解负担,topic_aligned_reframing,201,direct,target_specificity,3.0,3.0,0.0
ACCT2542__topic_aligned_reframing__r1__s201__bm25_retrieve_then_summarize,ACCT2542,ACCT2542-R001,课程内容难度与理解负担,topic_aligned_reframing,201,bm25_retrieve_then_summarize,target_risk_retained,1.0,1.0,0.0
ACCT2542__topic_aligned_reframing__r1__s201__bm25_retrieve_then_summarize,ACCT2542,ACCT2542-R001,课程内容难度与理解负担,topic_aligned_reframing,201,bm25_retrieve_then_summarize,target_risk_omitted,0.0,0.0,0.0
